iter,theta,mu,d_inf,gap,factorizations
0,9.999999999999670e-01,1.000000000000000e+00,3.907985046680551e-14,5.000000000000000e+00,1
1,6.973176281541964e-03,2.500000000000159e-01,1.147906793320686e+00,1.503949838800822e-02,1
2,3.484972510789262e-03,2.471650304405991e-01,1.141321146138523e+00,-2.001696818508147e-03,1
3,2.245080741297882e-01,2.471650304405991e-01,5.605338996854643e-01,1.130338292599808e+00,2
4,8.944515277393772e-02,9.903007962469779e-02,5.384077294199416e-01,4.395906760989977e-01,2
5,1.122018315182280e-03,4.288835492328254e-02,1.332049817828060e+00,-1.001897181939754e-02,2
6,3.431276893452792e-02,4.288835492328254e-02,5.459771986234065e-01,1.848697509014258e-01,3
7,1.639482134157295e-02,1.947835356947944e-02,5.730780166666983e-01,8.411082628711540e-02,3
8,1.979774004136996e-03,8.527971854653135e-03,1.052105021879606e+00,3.295982352647414e-03,3
9,7.762599205107195e-03,8.527971854653135e-03,6.437653369388294e-01,3.727439473772098e-02,4
10,2.881123503036769e-03,3.682042305124319e-03,8.590196467504843e-01,1.653654749149532e-02,4
11,3.878451037525950e-04,1.479397684847849e-03,1.061733589254045e+00,1.993168380552313e-03,4
12,1.563568552763841e-03,1.479397684847849e-03,3.612902874785884e-01,7.106176148122102e-03,5
13,5.371385548594200e-04,4.946805677336424e-04,5.261465092602020e-01,2.326255340240186e-03,5
14,-4.700447461962705e-06,1.815839842200548e-04,1.268147486644926e+00,1.162894493683261e-04,5
15,-1.969436888178580e-05,1.628948513516808e-04,1.175298841260862e+00,1.940142574595504e-05,5
16,-2.613752716026885e-05,1.566116168012470e-04,1.129981430664758e+00,-4.046517995205461e-05,5
17,2.059862173801060e-04,1.566116168012470e-04,7.894362348852813e-01,6.760805612134194e-04,6
18,9.113767102692350e-05,7.004462464824477e-05,5.305225251012816e-01,3.221619550429827e-04,6
19,6.213409412099121e-06,2.747458392026477e-05,1.013621231842969e+00,3.827473518441677e-05,6
20,3.432114506959453e-05,2.747458392026477e-05,2.716988233102571e-01,1.306783275503606e-04,7
21,1.247447982765391e-05,9.937221645957806e-06,6.260449409875338e-01,4.339196884139265e-05,7
22,3.637899171215540e-07,4.296479889189516e-06,1.012990409896094e+00,2.394222667694271e-06,7
23,4.667719468521085e-08,4.045358480798901e-06,1.005867842545576e+00,3.818727852499852e-07,7
24,1.849219755790903e-09,4.006668285587260e-06,1.001039828370033e+00,2.920339233324827e-08,7
25,-7.334239751971257e-10,4.003739205174638e-06,1.000213790680354e+00,-2.759703969401508e-09,7
26,4.922238476760635e-06,4.003739205174638e-06,2.706478413998155e-01,1.876235271013175e-05,8
27,2.013845049943536e-06,1.562244441056803e-06,2.784461123231410e-01,7.523522513692909e-06,8
28,1.230797900271785e-08,5.509812162499841e-07,1.006342937145314e+00,8.851195862191663e-08,8
29,6.710720328728848e-07,5.509812162499841e-07,2.674206668468627e-01,2.573914502661852e-06,9
30,2.767652248475911e-07,2.173007115637712e-07,2.417394102007089e-01,1.049280470092551e-06,9
31,2.752542707210080e-10,7.599679244961572e-08,1.000997192689464e+00,1.962247736280052e-09,9
32,4.940254532686054e-13,7.580008916295951e-08,1.000005616039643e+00,4.739051096030269e-12,9
33,-1.278008476841861e-15,7.579961525171329e-08,1.000000017814801e+00,-3.815103786492235e-15,9
