iter,theta,mu,d_inf,gap,factorizations
0,9.999999999999670e-01,1.000000000000000e+00,3.907985046680551e-14,5.000000000000000e+00,1
1,6.973176281541964e-03,2.500000000000159e-01,1.147906793320686e+00,1.503949838800822e-02,1
2,3.484972510789262e-03,2.471650304405991e-01,1.141321146138523e+00,-2.001696818508147e-03,1
3,2.245080741297882e-01,2.471650304405991e-01,5.605338996854643e-01,1.130338292599808e+00,2
4,8.944515277393772e-02,9.903007962469779e-02,5.384077294199416e-01,4.395906760989977e-01,2
5,1.122018315182280e-03,4.288835492328254e-02,1.332049817828060e+00,-1.001897181939754e-02,2
6,3.431276893452792e-02,4.288835492328254e-02,5.459771986234065e-01,1.848697509014258e-01,3
7,1.639482134157295e-02,1.947835356947944e-02,5.730780166666983e-01,8.411082628711540e-02,3
8,1.979774004136996e-03,8.527971854653135e-03,1.052105021879606e+00,3.295982352647414e-03,3
9,-1.000625548806150e-03,8.180323889339654e-03,1.179793739918929e+00,-6.676432233859241e-03,3
10,6.245097585165159e-03,8.180323889339654e-03,7.294317727517136e-01,3.391921927501778e-02,4
11,3.264463134209857e-03,3.831396876898272e-03,3.372061308913885e-01,1.807558472464565e-02,4
12,7.851674456813265e-04,1.455320065328364e-03,1.039748546790095e+00,4.772803185903931e-03,4
13,6.263242201409373e-05,9.114082780984939e-04,1.101831993259618e+00,4.000717129583348e-04,4
14,3.173073342890505e-05,8.674699777961717e-04,1.088635480317081e+00,2.857175235767839e-04,4
15,2.116896312698929e-05,8.357699333963473e-04,1.077333461675841e+00,2.176799770607840e-04,4
16,1.178410089110519e-05,8.113315406077744e-04,1.068952397216911e+00,1.566329100508666e-04,4
17,4.137809498767772e-06,7.933711673959282e-04,1.061934445348588e+00,1.064619777948837e-04,4
18,-2.081869203179080e-06,7.807370359914579e-04,1.055978187032295e+00,6.513628336124412e-05,4
19,-7.144683132735669e-06,7.724936907816798e-04,1.050869014722993e+00,3.100852207613700e-05,4
20,-1.126136157513616e-05,7.678805821604862e-04,1.046444859147950e+00,2.790902724609384e-06,4
21,-1.459922304759143e-05,7.662737141911466e-04,1.042581971234281e+00,-2.054102595043950e-05,4
22,7.498462466174384e-04,7.662737141911466e-04,6.347781679987327e-01,3.456955331600674e-03,5
23,3.161704050772939e-04,3.178138037262122e-04,2.391848642864018e-01,1.521980462799962e-03,5
24,1.114625145862125e-05,1.148356378146645e-04,1.064937404297545e+00,7.635246370871641e-05,5
25,-1.509312261864352e-05,1.025447220079892e-04,1.131740555959493e+00,-5.918996316584023e-05,5
26,1.010634981610464e-04,1.025447220079892e-04,6.637214749554018e-01,4.614682193231536e-04,6
27,4.527669072408817e-05,4.384060117034375e-05,6.953189126136871e-01,2.079679813788392e-04,6
28,1.023333039826301e-06,1.502860820596492e-05,1.004716783303508e+00,6.196298400343788e-06,6
29,1.157277548089441e-07,1.435376028716501e-05,1.013315573102878e+00,1.102511876403654e-06,6
30,-3.331466895392689e-08,1.423636199979361e-05,1.004549844683174e+00,-5.900751048304692e-08,6
31,1.424979669137576e-05,1.423636199979361e-05,2.738942855975215e-01,6.641815370465652e-05,7
32,5.873745187125188e-06,5.618518926413864e-06,3.539997837110256e-01,2.711514871165051e-05,7
33,2.633411781489204e-08,1.947134674660059e-06,1.006837927672709e+00,1.849318940800747e-07,7
34,-2.633588653488967e-10,1.928004034205384e-06,1.000642953692796e+00,1.100770449897226e-09,7
35,-6.643613517996000e-11,1.927892682665661e-06,1.000113211802237e+00,-3.398771239322945e-10,7
36,1.925867752670383e-06,1.927892682665661e-06,2.654353322768183e-01,8.971755899603926e-06,8
37,8.036313049233826e-07,7.690158682938746e-07,1.848408318001744e-01,3.739342173403239e-06,8
38,4.277574903426297e-10,2.612370555863712e-07,1.001309208020742e+00,3.278064583558775e-09,8
39,-1.613181672041931e-12,2.609072592422401e-07,1.000012505982009e+00,-2.617373852460740e-12,8
40,2.605539957710111e-07,2.609072592422401e-07,2.644078753262196e-01,1.213551047999029e-06,9
41,1.088918422495472e-07,1.042279011852579e-07,1.669075996177428e-01,5.070902539469229e-07,9
42,7.713627431358795e-12,3.531590910208280e-08,1.000183498965846e+00,5.980441133353813e-11,9
43,-4.176731456012550e-15,3.530992358631225e-08,1.000000230459212e+00,-8.205956010735494e-15,9
