iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000000e+00,1.000000000000000e+00,5.551115123125783e-16,4.000000000000000e+00,1
1,2.210140485037960e-01,2.500000000000002e-01,6.150603475898995e-01,8.685566166338761e-01,1
2,8.963070821312752e-02,1.081423537432576e-01,5.398034390452349e-01,3.535078996959022e-01,1
3,3.010983481136741e-02,5.290560096381426e-02,9.149052667065485e-01,1.441390119595089e-01,1
4,1.478085519360070e-02,3.166157654763546e-02,1.095637826534407e+00,6.994104637896457e-02,1
5,2.902863366446346e-02,3.166157654763546e-02,2.602063714068829e-01,1.234168687686131e-01,2
6,9.551450588788604e-03,1.020703550038299e-02,2.807062726020770e-01,3.921045753432877e-02,2
7,9.925346246107709e-04,3.553772491077822e-03,9.931314777357098e-01,4.510285513673771e-03,2
8,-2.626166490318140e-05,2.854182301818461e-03,1.087608275217201e+00,-2.818948442401235e-04,2
9,2.602626818227934e-03,2.854182301818461e-03,5.531674095850000e-01,1.061439245642751e-02,3
10,1.019105728284903e-03,1.124680665312116e-03,5.915011080408333e-01,4.158453045658568e-03,3
11,3.692233615275245e-05,4.423422225822765e-04,1.000960560910266e+00,1.777993692698449e-04,3
12,4.004625983428497e-04,4.423422225822765e-04,2.636905802524615e-01,1.666453114358411e-03,4
13,1.537987929243870e-04,1.688871647863216e-04,5.594903599680756e-01,6.306645848836098e-04,4
14,1.177603520692127e-06,6.430941918224207e-05,1.000285542613583e+00,5.699012554206062e-06,4
15,5.715601271708163e-05,6.430941918224207e-05,2.653838770172489e-01,2.399663753718594e-04,5
16,2.355269689064845e-05,2.547879719957644e-05,2.370830740323403e-01,9.866876553298582e-05,5
17,2.108366097911922e-08,8.818625328301468e-06,1.001586376331148e+00,1.006192929482378e-07,5
18,7.807067691500466e-06,8.818625328301468e-06,2.650657052716881e-01,3.282418104436621e-05,6
19,3.257686918327802e-06,3.519879757633695e-06,1.760965834609599e-01,1.369336692632292e-05,6
20,3.692989795108006e-10,1.195423689974184e-06,1.000277688891315e+00,1.754081619555797e-09,6
