iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000000e+00,1.000000000000000e+00,5.551115123125783e-16,4.000000000000000e+00,1
1,2.210140485037960e-01,2.500000000000002e-01,6.150603475898995e-01,8.685566166338761e-01,1
2,8.963070821312752e-02,1.081423537432576e-01,5.398034390452349e-01,3.535078996959022e-01,1
3,3.010983481136741e-02,5.290560096381426e-02,9.149052667065485e-01,1.441390119595089e-01,1
4,1.478085519360070e-02,3.166157654763546e-02,1.095637826534407e+00,6.994104637896457e-02,1
5,8.789789931562909e-03,2.121790306644663e-02,1.037827785191738e+00,3.979064602559590e-02,1
6,4.631419319576926e-03,1.505156475569523e-02,1.015610381395819e+00,2.005381713891815e-02,1
7,1.749922810222001e-03,1.166874542927202e-02,1.012311017513434e+00,6.418135704611021e-03,1
8,8.358007676611448e-04,1.064209573294630e-02,1.140763552187500e+00,2.794383447127333e-03,1
9,3.424269940216623e-04,1.023921730979670e-02,1.201907065926241e+00,1.298419914442163e-03,1
10,6.038567917046687e-05,1.006411675412532e-02,1.107190183920911e+00,3.601737145904130e-04,1
11,-3.813081562428682e-05,1.001553813342447e-02,1.116627079833003e+00,-3.754143754389899e-05,1
12,-4.471323739486688e-05,1.001918484111032e-02,1.075617673320750e+00,-1.171854526410762e-04,1
13,-2.538895210493760e-05,1.003356753920717e-02,1.030766275319787e+00,-8.159760814577255e-05,1
14,-8.704806626340712e-06,1.004371005808241e-02,1.005885744672848e+00,-3.450090481631196e-05,1
15,-4.826354390427158e-07,1.004800981709019e-02,1.000796636638166e+00,-6.652644676544139e-06,1
16,1.796344135176943e-06,1.004883780799987e-02,1.000271727013829e+00,3.403186353709287e-06,1
17,1.531112409725286e-06,1.004841138293199e-02,1.000107880138384e+00,4.336075122492178e-06,1
18,7.534533550854079e-07,1.004786912577699e-02,1.000295286698539e+00,2.554915076190267e-06,1
19,2.090717520759787e-07,1.004754970863495e-02,1.000204808049143e+00,9.228212443368466e-07,1
20,-2.407629922480074e-08,1.004743434331781e-02,1.000141874657656e+00,8.627600882327169e-08,1
21,-7.112663907496137e-08,1.004742355514335e-02,1.000130527544851e+00,-1.627836865233934e-07,1
22,-4.982289175033895e-08,1.004744390209460e-02,1.000067028135933e+00,-1.493413586267645e-07,1
23,-2.134551637671783e-08,1.004746256953336e-02,1.000020015770629e+00,-7.657513600989319e-08,1
24,-4.311346156779751e-09,1.004747214137584e-02,1.000001563054099e+00,-2.280910148255710e-08,1
25,1.947532516569708e-09,1.004747499250080e-02,1.000000667392730e+00,1.222398793299107e-09,1
