iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000000e+00,1.000000000000000e+00,5.551115123125783e-16,4.000000000000000e+00,1
1,2.210140485037960e-01,2.500000000000002e-01,6.150603475898995e-01,8.685566166338761e-01,1
2,8.963070821312752e-02,1.081423537432576e-01,5.398034390452349e-01,3.535078996959022e-01,1
3,3.010983481136741e-02,5.290560096381426e-02,9.149052667065485e-01,1.441390119595089e-01,1
4,1.478085519360070e-02,3.166157654763546e-02,1.095637826534407e+00,6.994104637896457e-02,1
5,8.789789931562909e-03,2.121790306644663e-02,1.037827785191738e+00,3.979064602559590e-02,1
6,4.631419319576926e-03,1.505156475569523e-02,1.015610381395819e+00,2.005381713891815e-02,1
7,1.749922810222001e-03,1.166874542927202e-02,1.012311017513434e+00,6.418135704611021e-03,1
8,8.358007676611448e-04,1.064209573294630e-02,1.140763552187500e+00,2.794383447127333e-03,1
9,3.424269940216623e-04,1.023921730979670e-02,1.201907065926241e+00,1.298419914442163e-03,1
10,6.038567917046687e-05,1.006411675412532e-02,1.107190183920911e+00,3.601737145904130e-04,1
11,-3.813081562428682e-05,1.001553813342447e-02,1.116627079833003e+00,-3.754143754389899e-05,1
12,1.028681846738505e-02,1.001553813342447e-02,3.341666064296716e-01,3.750177488507965e-02,2
13,4.237546994249473e-03,3.919206797874203e-03,2.207430335067772e-01,1.509156426221555e-02,2
14,2.017058806027364e-05,1.379366377796661e-03,1.042259128980952e+00,1.629195447347470e-04,2
15,1.403631371537797e-03,1.379366377796661e-03,2.866284309162774e-01,5.152713849628470e-03,3
16,5.809163398226720e-04,5.447905198960674e-04,2.539140881252847e-01,2.106724516305330e-03,3
17,3.252029967797771e-07,1.899115939641117e-04,1.008789210451484e+00,3.186080186555495e-06,3
18,-3.705641472978951e-09,1.895122591231039e-04,1.000407603988448e+00,-4.495532767334783e-09,3
19,1.910325970540065e-04,1.895122591231039e-04,2.656008271651816e-01,7.052214305532901e-04,4
20,7.983846658828421e-05,7.569405454930134e-05,1.650222594410077e-01,2.945969885440451e-04,4
21,5.457492908619865e-09,2.565510842433055e-05,1.001513582091687e+00,5.986641347338986e-08,4
22,2.585525928554593e-05,2.565510842433055e-05,2.649782448263444e-01,9.546282751396375e-05,5
23,1.080658578622795e-05,1.024887034009476e-05,1.647807742597130e-01,3.988910959401597e-05,5
24,1.000604996163138e-10,3.473193524318207e-06,1.000205219063381e+00,1.099278003790477e-09,5
25,-1.099845849935439e-13,3.473056104554363e-06,1.000000178325403e+00,-5.458541028847876e-14,5
