iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000001e+00,1.000000000000000e+00,1.554312234475219e-15,1.000000000000000e+01,1
1,1.802307277862018e-15,2.500000000000003e-01,1.846054281694073e+00,4.754624989599026e-01,1
2,-9.250281539639858e-02,2.038816416985612e-01,1.647386160858152e+00,-9.700736602567614e-01,1
3,1.934461176880058e-01,2.038816416985612e-01,1.122215708849178e+00,1.684792479863128e+00,2
4,4.748810911503271e-02,8.577138593059699e-02,9.644272164511347e-01,4.028412102872118e-01,2
5,-3.292593129685728e-03,6.322960111686567e-02,1.230528913005902e+00,-3.591927771377068e-02,2
6,5.607335292240152e-02,6.322960111686567e-02,9.562084480868418e-01,5.359779987380072e-01,3
7,2.513923822903221e-02,2.738593439248101e-02,5.904760698121818e-01,2.422284586200576e-01,3
8,1.537226508032338e-03,1.176383052692435e-02,1.385081844030522e+00,1.695829346814956e-02,3
9,1.091814091738048e-02,1.176383052692435e-02,4.084741966815043e-01,1.093064369707872e-01,4
10,3.267928333398963e-03,4.525597121557571e-03,1.182366884259705e+00,3.142104965286936e-02,4
11,-7.757613964317021e-06,2.309342230092370e-03,1.073307122510899e+00,-8.598343074597836e-05,4
12,2.029269241630336e-03,2.309342230092370e-03,8.169508114591348e-01,2.086450969777923e-02,5
13,8.681674917931333e-04,9.565927515995970e-04,5.268748260915257e-01,8.940554263639771e-03,5
14,2.951046939639372e-05,3.643448580938627e-04,1.041669960467065e+00,3.246030966462072e-04,5
15,3.286446633653136e-04,3.643448580938627e-04,2.851113318206093e-01,3.417837013667403e-03,6
16,1.219482406447832e-04,1.390355804854216e-04,7.618759712191561e-01,1.258977218099797e-03,6
17,1.448234771064009e-06,5.436154813688509e-05,1.007031720138466e+00,1.593007754772729e-05,6
18,-9.166784962022864e-08,5.354752996463098e-05,1.002580423710480e+00,-1.008676496824746e-06,6
19,4.769771023636482e-05,5.354752996463098e-05,2.710278411499444e-01,4.979804982393680e-04,7
20,1.995580909085812e-05,2.140730851401558e-05,1.779470199763961e-01,2.083555208473141e-04,7
21,1.706918183709198e-09,7.241066468637584e-06,1.006501318473348e+00,1.854705085249219e-08,7
22,-3.505278412974245e-10,7.240069281961295e-06,1.000047502012180e+00,-3.875458330727184e-09,7
