iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000001e+00,1.000000000000000e+00,1.554312234475219e-15,1.000000000000000e+01,1
1,1.802307277862018e-15,2.500000000000003e-01,1.846054281694073e+00,4.754624989599026e-01,1
2,-9.250281539639858e-02,2.038816416985612e-01,1.647386160858152e+00,-9.700736602567614e-01,1
3,1.934461176880058e-01,2.038816416985612e-01,1.122215708849178e+00,1.684792479863128e+00,2
4,4.748810911503271e-02,8.577138593059699e-02,9.644272164511347e-01,4.028412102872118e-01,2
5,-3.292593129685728e-03,6.322960111686567e-02,1.230528913005902e+00,-3.591927771377068e-02,2
6,5.607335292240152e-02,6.322960111686567e-02,9.562084480868418e-01,5.359779987380072e-01,3
7,2.513923822903221e-02,2.738593439248101e-02,5.904760698121818e-01,2.422284586200576e-01,3
8,1.537226508032338e-03,1.176383052692435e-02,1.385081844030522e+00,1.695829346814956e-02,3
9,-3.032621505261744e-03,1.035449975543448e-02,1.419052613440252e+00,-3.332995321859489e-02,3
10,9.144992773749701e-03,1.035449975543448e-02,8.767561333045557e-01,8.974937939391832e-02,4
11,4.189393669431175e-03,4.642924768896340e-03,8.803804006592689e-01,4.160119868024674e-02,4
12,5.337091193966946e-04,1.868921248717925e-03,1.097108380071040e+00,5.868981371568634e-03,4
13,-5.348995434834201e-05,1.493827893942166e-03,1.075911948920186e+00,-5.874653623699384e-04,4
14,1.390366617034067e-03,1.493827893942166e-03,3.244515043684026e-01,1.381519529071641e-02,5
15,5.848498352110212e-04,6.017022838317848e-04,5.796161287410815e-01,5.815092384991802e-03,5
16,4.098893898349881e-06,2.011105872684797e-04,1.018407900094738e+00,4.506633323900352e-05,5
17,-6.529146643449843e-07,1.986943820408696e-04,1.008222170396760e+00,-7.186685388888177e-06,5
18,1.861422023047108e-04,1.986943820408696e-04,2.725486493267961e-01,1.847476323729312e-03,6
19,7.793598823874586e-05,7.947238790500624e-05,1.991621923737958e-01,7.736582403693555e-04,6
20,8.186159000485066e-09,2.684763735477385e-05,1.005625948279561e+00,8.933812895451504e-08,6
21,-1.590043414881184e-09,2.684285363412525e-05,1.000123170613697e+00,-1.740277482238867e-08,6
22,-1.025834461213667e-11,2.684372374570973e-05,1.000002104999836e+00,-1.067947271414516e-11,6
23,-1.538751691820501e-11,2.684372427968104e-05,1.000000002048872e+00,1.489190118875855e-12,6
24,-5.129172306068336e-12,2.684372420522153e-05,1.000000000037219e+00,2.332173083124944e-15,6
25,-1.538751691820501e-11,2.684372420510492e-05,1.000000000021374e+00,-1.278924882663901e-15,6
26,-1.538751691820501e-11,2.684372420516886e-05,1.000000000000022e+00,1.290200585257750e-17,6
27,-1.025834461213667e-11,2.684372420516822e-05,1.000000000007673e+00,5.692061405548898e-16,6
28,-1.538751691820501e-11,2.684372420513976e-05,1.000000000010668e+00,-5.760908243501728e-16,6
29,-1.025834461213667e-11,2.684372420516857e-05,1.000000000007692e+00,5.756029333725543e-16,6
30,-1.025834461213667e-11,2.684372420513979e-05,1.000000000000052e+00,-6.830473686658678e-18,6
31,-1.025834461213667e-11,2.684372420514013e-05,1.000000000000003e+00,9.215718466126788e-19,6
32,-1.538751691820501e-11,2.684372420514008e-05,1.000000000010681e+00,-5.695856113152598e-16,6
33,-1.538751691820501e-11,2.684372420516856e-05,1.000000000000013e+00,6.776263578034403e-18,6
