iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000000e+00,1.000000000000000e+00,1.743050148661496e-14,5.000000000000000e+01,1
1,4.526633196137710e-15,2.500000000000021e-01,2.470070802212906e+00,4.447326524042072e-01,1
2,-7.527243300099373e-02,2.269143351218716e-01,1.725715870898044e+00,-3.812388880271614e+00,1
3,-6.868350914824485e-02,2.564529973757687e-01,1.589032292777873e+00,-3.549930170890910e+00,1
4,-5.560233390326982e-02,2.866217332831223e-01,1.758237919945946e+00,-2.857222495436428e+00,1
5,-5.059107688466481e-02,3.112286989040101e-01,1.577394933561953e+00,-2.584675886630649e+00,1
6,-4.474496446753958e-02,3.343027543798675e-01,1.611007897391925e+00,-2.289909699179272e+00,1
7,-3.487191684935518e-02,3.551269061973029e-01,1.751830674377150e+00,-1.792390598792476e+00,1
8,-2.671028213906060e-02,3.714237980358231e-01,1.551614601305989e+00,-1.374862426807759e+00,1
9,-1.919840847359611e-02,3.839077688642046e-01,1.718059035533087e+00,-9.899388689474193e-01,1
10,-1.347976026812629e-02,3.928041223653107e-01,1.553077390596114e+00,-6.933601316284310e-01,1
11,-8.315329250952857e-03,3.989371865646943e-01,1.369646333132192e+00,-4.253875277896420e-01,1
12,-4.678994904514005e-03,4.025501415346240e-01,1.667038739073010e+00,-2.374731657484794e-01,1
13,-4.250003485682418e-03,4.043710233067903e-01,1.869489544885618e+00,-2.149762643936128e-01,1
14,-6.815566090536245e-03,4.060217481025953e-01,1.703675275221056e+00,-3.465696955753970e-01,1
15,-1.012173380196910e-02,4.090322785042342e-01,2.096233202776881e+00,-5.170667533143707e-01,1
16,-1.097825109756027e-02,4.138035767151825e-01,2.446824463564781e+00,-5.633401842015147e-01,1
17,-1.069838644857560e-02,4.190863195827345e-01,1.970896229371975e+00,-5.504312685023542e-01,1
18,-1.075564948360695e-02,4.242675013587842e-01,1.616834601641475e+00,-5.538269661543112e-01,1
19,-1.145123384730514e-02,4.295065086571720e-01,1.412170415391555e+00,-5.889197732791693e-01,1
20,-1.026571143523411e-02,4.351587623465450e-01,1.527780654162681e+00,-5.298740505756854e-01,1
21,-7.834141110798734e-03,4.402516168010849e-01,1.633216671107115e+00,-4.059792834386506e-01,1
22,-4.492913271498197e-03,4.441329303889331e-01,2.046215046262987e+00,-2.343854344451906e-01,1
23,-1.241015951295478e-03,4.463177627623216e-01,2.199672697723365e+00,-6.687876369161216e-02,1
24,1.556767712949879e-03,4.468466008326796e-01,1.931094308585504e+00,7.719765408822710e-02,1
25,4.153502065898223e-03,4.459544764915420e-01,1.681307328270130e+00,2.107323751841648e-01,1
26,5.131781004690804e-03,4.437385273907842e-01,1.530759112578266e+00,2.624196141646209e-01,1
27,4.544045476254202e-03,4.410143040513041e-01,1.567239675999317e+00,2.337601662269968e-01,1
28,3.051382977674059e-03,4.385836070579955e-01,1.551705267746321e+00,1.582656658443824e-01,1
29,1.355460428467402e-03,4.369136814451260e-01,1.505320283614730e+00,7.189600751149783e-02,1
30,-6.326185709502811e-05,4.361124841591898e-01,1.441737872900673e+00,-6.052572465797823e-04,1
31,-1.009086749459717e-03,4.360407329441270e-01,1.373553544551753e+00,-4.908104808456670e-02,1
32,-1.503907564596023e-03,4.364577060937475e-01,1.379227589865138e+00,-7.456256773530257e-02,1
33,-1.678189263312505e-03,4.371330848965115e-01,1.375941330879781e+00,-8.368820156307066e-02,1
34,-1.682192887588286e-03,4.379029998100646e-01,1.364903161094509e+00,-8.414007534996060e-02,1
35,-1.636574663761335e-03,4.386804512718658e-01,2.329173145047391e+00,-8.209530610166027e-02,1
36,-1.615324147598352e-03,4.394402485113145e-01,2.568896008032440e+00,-8.134053996628410e-02,1
37,-1.647437491252547e-03,4.401950970874866e-01,2.265942161668772e+00,-8.335340216413556e-02,1
38,-1.726923164308366e-03,4.409725029932513e-01,1.978508643378477e+00,-8.781464498265024e-02,1
39,-1.825563519647161e-03,4.417967995446027e-01,1.769217022365865e+00,-9.326242209166580e-02,1
40,-1.905919504589612e-03,4.426777178781221e-01,1.618694761362481e+00,-9.775900261790227e-02,1
41,-1.933131514970958e-03,4.436056252156920e-01,1.507228524633702e+00,-9.949625141173968e-02,1
42,-1.884122939456071e-03,4.445528184504702e-01,1.421637010543189e+00,-9.726920817074713e-02,1
43,-1.752865981652265e-03,4.454795540174832e-01,1.353470216905556e+00,-9.074920734323655e-02,1
44,-1.550932918324557e-03,4.463428094589982e-01,1.385400756812822e+00,-8.051601731989066e-02,1
45,-1.303583838587983e-03,4.471053668417623e-01,1.441018498192414e+00,-6.786063974766066e-02,1
46,-1.042743519231104e-03,4.477429245109413e-01,1.436796195825337e+00,-5.442693284279798e-02,1
47,-7.989526878231602e-04,4.482476252409660e-01,1.402325602060621e+00,-4.179832389605309e-02,1
48,-4.343599939690835e-04,4.486283542852585e-01,1.451716907409115e+00,-2.311673821010274e-02,1
49,-4.591541787711787e-05,4.488242447826194e-01,1.857180896246894e+00,-3.201100864469453e-03,1
50,2.093805921258966e-04,4.488226466530425e-01,1.671698645372833e+00,1.001290598650328e-02,1
51,3.600755415040675e-04,4.486904008419562e-01,1.455918885095389e+00,1.786908001440679e-02,1
52,4.738090457374521e-04,4.484809621156022e-01,1.507220645376245e+00,2.377786261924797e-02,1
53,5.879248378984254e-04,4.482137069403377e-01,1.534580098804530e+00,2.965911346237959e-02,1
54,7.088153222720976e-04,4.478888286687646e-01,1.502973578974423e+00,3.586679879626686e-02,1
55,8.260029090632970e-04,4.475029914441964e-01,1.449618138346175e+00,4.189391406592691e-02,1
56,9.215533621272902e-04,4.470579371835394e-01,1.391252780257140e+00,4.684828533073215e-02,1
57,9.753088959621727e-04,4.465643356463205e-01,1.334497801043738e+00,4.971415915116495e-02,1
58,9.689574119500162e-04,4.460430192013288e-01,1.281370345052383e+00,4.955628000530510e-02,1
59,8.897745292981886e-04,4.455241771394904e-01,1.231844825389199e+00,4.571203205779284e-02,1
60,7.334967358957868e-04,4.450446287080983e-01,1.204616762442715e+00,3.794289804651640e-02,1
61,5.292708384470248e-04,4.446437242714735e-01,1.196601264705784e+00,2.769177365363262e-02,1
62,4.992351340600700e-04,4.443468296618350e-01,1.781355834172087e+00,2.609668912091578e-02,1
63,3.501686976353347e-04,4.440668403440617e-01,1.700321316633098e+00,1.856975867449862e-02,1
64,1.083879847043786e-04,4.438629381762411e-01,1.469666870064233e+00,6.287396577437931e-03,1
65,-1.515410029939982e-04,4.437825890430562e-01,1.263032835439915e+00,-6.993071741046464e-03,1
66,-3.873542572919707e-04,4.438357078395493e-01,1.159039643077201e+00,-1.909776941378993e-02,1
67,-5.814591226212013e-04,4.440104847333123e-01,1.157623193900988e+00,-2.910893113433133e-02,1
68,-7.282901210919878e-04,4.442859419578932e-01,1.145876972737932e+00,-3.672486044577283e-02,1
69,-8.057273095813280e-04,4.446381436223845e-01,1.128698916207968e+00,-4.084252436209468e-02,1
70,-8.182693394360145e-04,4.450320771746961e-01,1.469422107921329e+00,-4.165029534581421e-02,1
