iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000000e+00,1.000000000000000e+00,1.743050148661496e-14,5.000000000000000e+01,1
1,4.526633196137710e-15,2.500000000000021e-01,2.470070802212906e+00,4.447326524042072e-01,1
2,-7.527243300099373e-02,2.269143351218716e-01,1.725715870898044e+00,-3.812388880271614e+00,1
3,1.961631085591245e-01,2.269143351218716e-01,1.154687272886481e+00,9.564495906909421e+00,2
4,3.444845181973506e-02,9.996618690429825e-02,1.622254652200469e+00,1.687926813529966e+00,2
5,-2.465001880231752e-02,7.699521455843061e-02,1.720719708805596e+00,-1.257167529902707e+00,2
6,6.697317679419178e-02,7.699521455843061e-02,3.887483355964633e+00,3.317874680924110e+00,3
7,1.194135294983112e-02,3.034209125901298e-02,1.543998515907731e+00,6.092436315837542e-01,3
8,2.470608636239968e-04,2.325377542515100e-02,1.421510761198729e+00,1.260379218269270e-02,3
9,2.160239384792333e-02,2.325377542515100e-02,3.872311245495247e-01,1.078651431503864e+00,4
10,8.387382343060502e-03,9.229933786272253e-03,2.328172466324296e+00,4.183049077968373e-01,4
11,-1.474637837807463e-04,3.410272017477692e-03,1.626935073270644e+00,-7.495731798507460e-03,4
12,3.330401281978363e-03,3.410272017477692e-03,8.002096976329894e-01,1.664572332659721e-01,5
13,4.184924165885309e-04,1.049819271905950e-03,1.484252649996331e+00,2.094574774255172e-02,5
14,-6.909587507341313e-05,8.001140797433302e-04,1.506136885391123e+00,-3.525637852675220e-03,5
15,7.572499702290585e-04,8.001140797433302e-04,1.036529145108162e+00,3.789295733060808e-02,6
16,2.395668117086144e-04,2.905915350076508e-04,9.868054179381259e-01,1.200540969451921e-02,6
17,1.801156808653468e-06,1.404775402561124e-04,1.115604595376222e+00,9.194543156591708e-05,6
18,-6.435564525961494e-06,1.388776134220882e-04,1.228856064250079e+00,-3.281232412939324e-04,6
19,-4.807950431879622e-06,1.419616475307732e-04,1.232637159559677e+00,-2.451751239637241e-04,6
20,-3.311194468375800e-06,1.442989916162555e-04,1.202742619841609e+00,-1.688768045565517e-04,6
21,-3.352237888284122e-06,1.458890663236714e-04,1.177983501329730e+00,-1.709719677569620e-04,6
22,-3.951423852670375e-06,1.475030901001622e-04,1.162168975631122e+00,-2.015241496215250e-04,6
23,-4.473607026756470e-06,1.494232075952221e-04,1.150543225012732e+00,-2.281527167653456e-04,6
24,-4.860009699487820e-06,1.516097198795422e-04,1.140404172434552e+00,-2.478593975844042e-04,6
25,-5.209261949867558e-06,1.539933197915925e-04,1.131247387881853e+00,-2.656718469624475e-04,6
26,-5.570243060890789e-06,1.565550481697562e-04,1.123117134654409e+00,-2.840820789311981e-04,6
27,-5.942788354033452e-06,1.593008796255235e-04,1.115951566437789e+00,-3.030818521681244e-04,6
28,-6.317508669657725e-06,1.622367089582696e-04,1.109596238316332e+00,-3.221925375465617e-04,6
29,-6.690852559038797e-06,1.653636451723913e-04,1.103906564256149e+00,-3.412330628969999e-04,6
30,-7.063256194937595e-06,1.686809866452815e-04,1.098776560324008e+00,-3.602256534551949e-04,6
31,-7.435563658853551e-06,1.721882540247575e-04,1.094127671907635e+00,-3.792133386622577e-04,6
32,-7.474953420162350e-06,1.758884063509972e-04,1.889811141141821e+00,-3.812263275845777e-04,6
33,-7.137228081646567e-06,1.796117058194642e-04,2.654228624536622e+00,-3.640093230664262e-04,6
34,-6.586938690296405e-06,1.831656288074319e-04,2.427418186561430e+00,-3.359510252044038e-04,6
35,-5.847081076303975e-06,1.864416746218989e-04,2.101857660218268e+00,-2.982239997048539e-04,6
36,-4.946842012252370e-06,1.893430710227194e-04,1.856087937682237e+00,-2.523166217468786e-04,6
37,-3.919537005915398e-06,1.917879321893536e-04,1.679440430112256e+00,-1.999278599565512e-04,6
38,-2.801414094998682e-06,1.937113645713493e-04,1.549034305527707e+00,-1.429062767884393e-04,6
39,-1.630434737564624e-06,1.950669627455243e-04,1.449081767734723e+00,-8.318785653103726e-05,6
40,-4.450281447342604e-07,1.958276835557847e-04,1.369696964455689e+00,-2.273248003471090e-05,6
41,7.171300305643076e-07,1.959860850027142e-04,1.304644332030351e+00,3.653837233788537e-05,6
42,1.820277309743008e-06,1.955539421650599e-04,1.249872644867002e+00,9.280075089818790e-05,6
43,2.831627103412707e-06,1.945612718216715e-04,1.202660548528918e+00,1.443824473222124e-04,6
44,3.722304857362713e-06,1.930548149687554e-04,1.161120532320828e+00,1.898107383472604e-04,6
45,4.468131870045485e-06,1.910960419023106e-04,1.161357173570818e+00,2.278523663097384e-04,6
46,5.050237090322116e-06,1.887587574972569e-04,1.167810879035860e+00,2.575447448830807e-04,6
47,5.455483004265729e-06,1.861263944311919e-04,1.166490999563008e+00,2.782176856585463e-04,6
48,5.676698104681890e-06,1.832890891442835e-04,1.159305552233239e+00,2.895052610085835e-04,6
49,5.712714808106563e-06,1.803406391724175e-04,1.147951468547525e+00,2.913477404427375e-04,6
50,5.568217477203521e-06,1.773754411186255e-04,1.133794510113738e+00,2.839838513683298e-04,6
51,5.253411735830065e-06,1.744855060186942e-04,1.117866820287965e+00,2.679339110934729e-04,6
52,4.783530454105561e-06,1.717576433884901e-04,1.100916649448816e+00,2.439746463835137e-04,6
53,4.178197704703195e-06,1.692708970774150e-04,1.083471758570130e+00,2.131067522830304e-04,6
54,3.460674606076234e-06,1.670943055352941e-04,1.080088307204626e+00,1.765164368627073e-04,6
55,2.657014718060421e-06,1.652850466333968e-04,1.085717972513338e+00,1.355323482613961e-04,6
56,1.795158258389846e-06,1.638870132165923e-04,1.087706990373444e+00,9.157938154241013e-05,6
57,9.039954888611830e-07,1.629298505884430e-04,1.086498419090147e+00,4.613091383120355e-05,6
58,1.242975060572861e-08,1.624284716463738e-04,1.082607933018999e+00,6.610169390117160e-07,6
59,-8.515305417119698e-07,1.623830498920031e-04,1.076556865569569e+00,-4.340185127294643e-05,6
60,-1.661623267566807e-06,1.627794755291789e-04,1.068830933166548e+00,-8.471826909850662e-05,6
61,-2.394102471813077e-06,1.635902457853637e-04,1.059859966171082e+00,-1.220771139143657e-04,6
62,-3.028404915373106e-06,1.647757478635493e-04,1.050012310403030e+00,-1.544295635512519e-04,6
63,-3.547695919010242e-06,1.662858819090893e-04,1.047207233004415e+00,-1.809169336627909e-04,6
64,-3.939280822270754e-06,1.680619623513875e-04,1.050905498965658e+00,-2.008916705348602e-04,6
65,-4.194873663702891e-06,1.700388291748083e-04,1.052604623527423e+00,-2.139310550671077e-04,6
66,-4.310718892287446e-06,1.721470962304992e-04,1.052443049928552e+00,-2.198434164872847e-04,6
67,-4.287567052672601e-06,1.743154616864218e-04,1.050618343103527e+00,-2.186668958835940e-04,6
68,-4.130509721356478e-06,1.764730061137431e-04,1.096261802800895e+00,-2.106610323144176e-04,6
69,-3.848683353673144e-06,1.785514064353345e-04,1.157012753093711e+00,-1.962916610773434e-04,6
70,-3.454855299802955e-06,1.804869988579441e-04,1.199542059039530e+00,-1.762098083409377e-04,6
