iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000000e+00,1.000000000000000e+00,1.110223024625157e-15,5.000000000000000e+00,1
1,8.048425303369090e-16,2.500000000000003e-01,1.380308440389360e+00,2.263128476525287e-01,1
2,2.228221093361826e-01,2.500000000000003e-01,5.284281047899296e-01,1.138093086599450e+00,2
3,7.905157209451570e-02,1.009777084125453e-01,8.940429234821440e-01,3.502507178688110e-01,2
4,6.599840212604290e-03,5.684848473588335e-02,1.314523104772189e+00,-9.465054398480888e-03,2
5,5.232166108994791e-02,5.684848473588335e-02,4.085173967601597e-01,2.630187887784330e-01,3
6,1.715540516395441e-02,2.238712302169327e-02,9.214608586525541e-01,1.009784191053420e-01,3
7,1.753512371244315e-03,9.280732546439619e-03,1.125786814970008e+00,1.021798317960235e-02,3
8,9.195594728867116e-03,9.280732546439619e-03,3.272688463870389e-01,4.400235138976483e-02,4
9,3.274178780412681e-03,3.435168213310056e-03,6.559803679225166e-01,1.509386276739184e-02,4
10,1.330842627245952e-07,1.446758946791428e-03,1.021127671804769e+00,-1.389532493467453e-05,4
11,1.377029553459477e-03,1.446758946791428e-03,2.754046507062102e-01,6.727020520968784e-03,5
12,5.755232395862663e-04,5.784694200245327e-04,1.715515839920821e-01,2.815243765421491e-03,5
13,8.679555933130281e-09,1.956161791076986e-04,1.003949639202737e+00,-1.500406353095469e-07,5
14,1.863884373935193e-04,1.956161791076986e-04,2.661705967658154e-01,9.097669307327644e-04,6
15,7.791244884717428e-05,7.816852324661871e-05,1.670791026039286e-01,3.803464214005947e-04,6
16,3.883075683002419e-11,2.647149429912738e-05,1.000542336235673e+00,-3.571840650508362e-09,6
