iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000000e+00,1.000000000000000e+00,1.110223024625157e-15,5.000000000000000e+00,1
1,8.048425303369090e-16,2.500000000000003e-01,1.380308440389360e+00,2.263128476525287e-01,1
2,-5.575161991173892e-02,2.124511606341178e-01,1.487211950830774e+00,-2.852014569571635e-01,1
3,1.887688709506656e-01,2.124511606341178e-01,1.104710231004487e+00,8.193627129696579e-01,2
4,8.107185583115532e-02,9.973065683750819e-02,8.009275427797146e-01,3.277254375781449e-01,2
5,4.394519950683870e-04,5.999358801976996e-02,1.286916929561057e+00,-6.265887713166052e-04,2
6,5.295523531022951e-02,5.999358801976996e-02,4.375668422393477e-01,2.775817166726879e-01,3
7,2.006006301631795e-02,2.358308277831906e-02,6.290864149059260e-01,1.048330743778239e-01,3
8,1.628706630311513e-03,9.914065920212841e-03,1.070789797314810e+00,9.537516793146419e-03,3
9,8.727870229332749e-03,9.914065920212841e-03,3.096916385720761e-01,4.683277447313024e-02,4
10,3.052014151148239e-03,3.693272967722919e-03,7.864818530517913e-01,1.608068218748765e-02,4
11,-3.553596504502829e-07,1.538094691299359e-03,1.021215242059979e+00,-1.031529614076935e-05,4
12,1.319771001609285e-03,1.538094691299359e-03,2.751069685105698e-01,7.152341823016190e-03,5
13,5.516239736319344e-04,6.148155588161225e-04,1.801599237800146e-01,2.991486673969024e-03,5
14,1.297422486199805e-08,2.080581494050071e-04,1.003597782505704e+00,-1.467668366114845e-08,5
15,1.786323389979163e-04,2.080581494050071e-04,2.660098438378806e-01,9.676497392204199e-04,6
16,7.466923757565418e-05,8.313603421876248e-05,1.667176404771587e-01,4.045065033560657e-04,6
17,4.685234228190678e-11,2.815738924581673e-05,1.000507067915055e+00,-1.497614997346495e-09,6
