iter,theta,mu,d_inf,gap,factorizations
0,9.999999999999944e-01,1.000000000000000e+00,1.065814103640150e-14,5.000000000000000e+00,1
1,1.871326165063712e-01,2.500000000000021e-01,8.819529242187446e-01,9.438362870300229e-01,1
2,3.869298369697680e-02,1.274491609043493e-01,1.236561288695049e+00,1.678210572981094e-01,1
3,1.207813875844319e-01,1.274491609043493e-01,4.415074207258331e-01,5.863736731660575e-01,2
4,1.559540407427091e-02,5.032252491334117e-02,1.230962813540725e+00,3.970320108354658e-02,2
5,4.754666074229653e-02,5.032252491334117e-02,4.917437780432427e-01,2.330200970006694e-01,3
6,1.288362494666784e-02,1.983427295913665e-02,1.087853762000504e+00,6.877785590204392e-02,3
7,1.997372417411157e-02,1.983427295913665e-02,3.085179013451469e-01,9.750903072161630e-02,4
8,4.138500624234845e-03,5.955749221253640e-03,8.280778388823685e-01,1.745552425200399e-02,4
9,2.606345300584241e-05,3.893692516476018e-03,1.041655938087661e+00,3.662054174297102e-05,4
10,3.552323711094220e-03,3.893692516476018e-03,2.921786177751975e-01,1.814451333574336e-02,5
11,1.443477071850709e-03,1.540245034085222e-03,3.771739662813964e-01,7.410024750649243e-03,5
12,8.469822498639622e-06,5.340429310892247e-04,1.017307784253008e+00,3.752196414214979e-05,5
13,4.883252643230716e-04,5.340429310892247e-04,2.734031450766776e-01,2.488369049971244e-03,6
14,2.016815150333869e-04,2.122208912724095e-04,2.231701415585338e-01,1.029135717135000e-03,6
15,1.569614620299130e-07,7.288379375587745e-05,1.003285959455387e+00,7.231049683641870e-07,6
16,6.659776912250242e-05,7.288379375587745e-05,2.658737030137798e-01,3.390665563306555e-04,7
17,2.779545874186038e-05,2.910021442514706e-05,1.742205592734314e-01,1.415340473988238e-04,7
18,2.915098426042428e-09,9.875025193802976e-06,1.000484325278177e+00,1.361568034556095e-08,7
19,9.022029333141182e-06,9.875025193802976e-06,2.644776636394934e-01,4.592933926079975e-05,8
20,3.770611802785367e-06,3.945407335775582e-06,1.654526405297312e-01,1.919576058076828e-05,8
21,5.403436574830935e-11,1.336649039987274e-06,1.000066385633276e+00,2.505650742491648e-10,8
