iter,theta,mu,d_inf,gap,factorizations
0,9.999999999999944e-01,1.000000000000000e+00,1.065814103640150e-14,5.000000000000000e+00,1
1,1.871326165063712e-01,2.500000000000021e-01,8.819529242187446e-01,9.438362870300229e-01,1
2,3.869298369697680e-02,1.274491609043493e-01,1.236561288695049e+00,1.678210572981094e-01,1
3,-6.991800880984119e-03,1.038734496879194e-01,1.299828923655051e+00,-7.781571322979264e-02,1
4,8.585536389556436e-02,1.038734496879194e-01,8.394476947245229e-01,4.295693836981974e-01,2
5,1.531330954736270e-02,4.988147791657573e-02,1.314676540982305e+00,4.017605240469127e-02,2
6,-1.279609868323980e-02,4.363165764702127e-02,1.516668293083288e+00,-8.688946033202952e-02,2
7,3.814086794958485e-02,4.363165764702127e-02,8.892713794415286e-01,1.986478423051967e-01,3
8,1.341962319257865e-02,1.761946110225863e-02,7.709095994310089e-01,7.622309578019737e-02,3
9,1.317181684025411e-03,7.914760971056341e-03,9.796897585580369e-01,5.495226114247707e-03,3
10,7.566369635492214e-03,7.914760971056341e-03,2.653504272085346e-01,3.737070112335677e-02,4
11,2.704572065080998e-03,2.978593257013312e-03,5.758431539728446e-01,1.371370628266872e-02,4
12,3.741274277008696e-05,1.174904803227926e-03,1.010488874702738e+00,1.529512634978018e-04,4
13,-5.008133656837352e-07,1.159184278409289e-03,1.002523592783674e+00,-1.991981941259872e-06,4
14,1.102200447862411e-03,1.159184278409289e-03,2.695898605273794e-01,5.395027638911243e-03,5
15,4.586468959198209e-04,4.621816707643755e-04,2.000126843437091e-01,2.246691753692838e-03,5
16,6.523424523215408e-07,1.571202916261010e-04,1.004934283171129e+00,2.645661937720795e-06,5
17,1.493943224940959e-04,1.571202916261010e-04,2.666674372920305e-01,7.310847779170042e-04,6
18,6.226294810887032e-05,6.269805632592776e-05,1.875123386542585e-01,3.048366902575377e-04,6
19,1.261256664279718e-08,2.130637862432964e-05,1.000704995459888e+00,5.292323149811979e-08,6
20,-4.659564878949572e-12,2.130107722980355e-05,1.000002034981533e+00,-9.276780136169976e-12,6
