iter,theta,mu,d_inf,gap,factorizations
0,9.999999999999944e-01,1.000000000000000e+00,1.065814103640150e-14,5.000000000000000e+00,1
1,1.871326165063712e-01,2.500000000000021e-01,8.819529242187446e-01,9.438362870300229e-01,1
2,3.869298369697680e-02,1.274491609043493e-01,1.236561288695049e+00,1.678210572981094e-01,1
3,-6.991800880984119e-03,1.038734496879194e-01,1.299828923655051e+00,-7.781571322979264e-02,1
4,-2.596625215345434e-02,1.090014729857284e-01,1.280824944275788e+00,-1.829052844444098e-01,1
5,-3.574509724340538e-02,1.255080308660895e-01,1.245429787724263e+00,-2.386829795169281e-01,1
6,-4.119193566866167e-02,1.477799171420127e-01,1.238080489564904e+00,-2.703808140932166e-01,1
7,-4.399442945966301e-02,1.733124452130332e-01,1.405545276695019e+00,-2.865663424056409e-01,1
8,-4.504261693226957e-02,2.005743447525200e-01,1.430997199988521e+00,-2.917103715115443e-01,1
9,-4.501496805646080e-02,2.284835314328864e-01,1.399553318873419e+00,-2.893159344829190e-01,1
10,-4.447320478717823e-02,2.562893902110632e-01,1.354827700983575e+00,-2.824179118589887e-01,1
11,-4.384560434389777e-02,2.835296487454260e-01,1.312201799591535e+00,-2.734615209425384e-01,1
12,-4.341471850198447e-02,3.099793217972924e-01,1.275622397531855e+00,-2.641881672427993e-01,1
13,-4.210073341960697e-02,3.355864623701028e-01,1.244369533575981e+00,-2.520722561750928e-01,1
14,-3.923439369446733e-02,3.600807604658078e-01,1.238640888416115e+00,-2.347470034490751e-01,1
15,-3.336000792176382e-02,3.830157959165047e-01,1.385216729041500e+00,-1.992094412662500e-01,1
16,-2.838855360018377e-02,4.025063361112188e-01,1.306756165854120e+00,-1.694800212610135e-01,1
17,-2.463460504328253e-02,4.191052431635994e-01,1.231992776414198e+00,-1.471048431099424e-01,1
18,-2.186061535143697e-02,4.335261149821853e-01,1.178250412214686e+00,-1.305910694170116e-01,1
19,-1.659857052647782e-02,4.464667070140022e-01,1.164754522117783e+00,-9.874766390948908e-02,1
20,-1.179526285622800e-02,4.562775730132178e-01,1.167054922768348e+00,-7.001147286410214e-02,1
21,-8.156656407903170e-03,4.632471890210205e-01,1.125891209679573e+00,-4.835737566559750e-02,1
22,-5.561130790777835e-03,4.680680485431094e-01,1.087768009652894e+00,-3.294633686938253e-02,1
23,-3.754961022308729e-03,4.713558136983882e-01,1.059849243867832e+00,-2.223479009889662e-02,1
24,-2.513755887757319e-03,4.735761656281352e-01,1.040507035347015e+00,-1.487889968291789e-02,1
25,-1.667804477724730e-03,4.750626494983812e-01,1.027305866614185e+00,-9.867820983072040e-03,1
26,-1.095308811616727e-03,4.760488079044842e-01,1.018332476399321e+00,-6.477862387627376e-03,1
27,-7.106780668157633e-04,4.766963219138746e-01,1.012243563429394e+00,-4.201102189304251e-03,1
28,-4.543556397065518e-04,4.771163155891063e-01,1.008120996746561e+00,-2.684367066052129e-03,1
29,-2.851446890323706e-04,4.773847035593276e-01,1.005339532201484e+00,-1.683471242364121e-03,1
30,-1.746853956202914e-04,4.775530308785826e-01,1.003472349582228e+00,-1.030375304866826e-03,1
31,-1.035503076590821e-04,4.776560606410297e-01,1.002227258358005e+00,-6.099995093102883e-04,1
32,-5.850348954866921e-05,4.777170576776772e-01,1.001403951170501e+00,-3.439608962572116e-04,1
33,-3.058366663896332e-05,4.777514527341430e-01,1.000865168995184e+00,-1.792052332150185e-04,1
34,-1.376750177086617e-05,4.777693729165223e-01,1.000517062082756e+00,-8.008221448152497e-05,1
35,-4.040325614510293e-06,4.777773810343819e-01,1.000295702495658e+00,-2.283774926192805e-05,1
36,1.247490410115399e-06,4.777796647792559e-01,1.000157769043205e+00,8.199877253201038e-06,1
37,3.824364884191197e-06,4.777788447810073e-01,1.000074095369914e+00,2.324936438524716e-05,1
38,4.801997331662069e-06,4.777765198381734e-01,1.000026095055383e+00,2.887987787580926e-05,1
39,4.883037935691611e-06,4.777736318448612e-01,1.000008640816084e+00,2.924078262589447e-05,1
40,4.501773786998571e-06,4.777707077617774e-01,9.999990309835480e-01,2.689452013138194e-05,1
41,3.918707977592651e-06,4.777680183058782e-01,9.999969644693301e-01,2.337637175608975e-05,1
42,3.283583735793151e-06,4.777656806658050e-01,9.999965947556865e-01,1.956734767327717e-05,1
43,2.676953092034515e-06,4.777637239290086e-01,9.999967449038046e-01,1.594004245575320e-05,1
44,2.137264296011478e-06,4.777621299234109e-01,9.999973695563467e-01,1.271877254005460e-05,1
45,1.678256954000413e-06,4.777608580452909e-01,9.999979513222331e-01,9.982359708615718e-06,1
46,1.299932547375031e-06,4.777598598087832e-01,9.999984240458357e-01,7.728909880544421e-06,1
47,9.953141801843627e-07,4.777590869174712e-01,9.999988004927303e-01,5.915693218838669e-06,1
48,7.544834740705217e-07,4.777584953479582e-01,9.999990954737439e-01,4.482931530880307e-06,1
49,5.668854985822270e-07,4.777580470546947e-01,9.999993235580065e-01,3.367355523309357e-06,1
50,4.225546782001887e-07,4.777577103190795e-01,9.999994979320442e-01,2.509393557392769e-06,1
51,3.126866102092431e-07,4.777574593796888e-01,9.999996299397067e-01,1.856503882180505e-06,1
52,2.298281369603772e-07,4.777572737292813e-01,9.999997290077789e-01,1.364259546665636e-06,1
53,1.678570850933823e-07,4.777571373033161e-01,9.999998027739329e-01,9.961979765549245e-07,1
54,1.218568729001520e-07,4.777570376835129e-01,9.999998573064485e-01,7.230558187742986e-07,1
55,8.794856672768630e-08,4.777569653779279e-01,9.999998973515355e-01,5.217577530025608e-07,1
56,6.311582796762218e-08,4.777569132021512e-01,9.999999265733102e-01,3.743676519896155e-07,1
57,4.504139360529103e-08,4.777568757653852e-01,9.999999477692795e-01,2.671113583652129e-07,1
58,3.196354784298183e-08,4.777568490542490e-01,9.999999630547592e-01,1.895202998980494e-07,1
59,2.255516351788054e-08,4.777568301022188e-01,9.999999740155538e-01,1.337105808296712e-07,1
60,1.582467057878348e-08,4.777568167311608e-01,9.999999818313181e-01,9.379320387026269e-08,1
61,1.103672357046326e-08,4.777568073518403e-01,9.999999873733523e-01,6.540192876158812e-08,1
62,7.649745638106271e-09,4.777568008116474e-01,9.999999912809451e-01,4.532174679994228e-08,1
63,5.267433814309316e-09,4.777567962794728e-01,9.999999940202327e-01,3.120053992944349e-08,1
64,3.601565329546443e-09,4.777567931594189e-01,9.999999959290683e-01,2.132799226117754e-08,1
65,2.443749997919717e-09,4.777567910266196e-01,9.999999972509155e-01,1.446775854674343e-08,1
66,1.644180238803548e-09,4.777567895798437e-01,9.999999981602288e-01,9.731207395446972e-09,1
