iter,theta,mu,d_inf,gap,factorizations
0,9.999999999999944e-01,1.000000000000000e+00,1.065814103640150e-14,5.000000000000000e+00,1
1,1.871326165063712e-01,2.500000000000021e-01,8.819529242187446e-01,9.438362870300229e-01,1
2,3.869298369697680e-02,1.274491609043493e-01,1.236561288695049e+00,1.678210572981094e-01,1
3,1.207813875844319e-01,1.274491609043493e-01,4.415074207258331e-01,5.863736731660575e-01,2
4,1.559540407427091e-02,5.032252491334117e-02,1.230962813540725e+00,3.970320108354658e-02,2
5,-2.363307376676686e-02,4.241176365883233e-02,1.401625349837136e+00,-1.500375310508852e-01,2
6,3.165209052263483e-02,4.241176365883233e-02,1.381367645994030e+00,1.695851688489636e-01,3
7,1.545407512293641e-02,2.086243581001420e-02,8.716426935800583e-01,9.093508178645394e-02,3
8,3.164853522677940e-03,8.428957938209263e-03,9.726445693231129e-01,1.700520303752273e-02,3
9,7.834947875206149e-03,8.428957938209263e-03,2.818619126454579e-01,4.072569515930361e-02,4
10,2.362690330265039e-03,2.914691777127794e-03,5.174271232061330e-01,1.210839381477920e-02,4
11,1.721069782976292e-05,1.418690813894942e-03,1.034237861001053e+00,6.847550453469280e-05,4
12,-1.454648324955388e-06,1.411452511822508e-03,1.002620627103951e+00,-7.992736423446598e-06,4
13,1.250143820408832e-03,1.411452511822508e-03,2.725365385917776e-01,6.567776496761388e-03,5
14,5.206995392212671e-04,5.631178224135439e-04,1.960922038246797e-01,2.738206136504340e-03,5
15,6.623815829014837e-07,1.911880810510084e-04,1.008110095173710e+00,2.724161863017520e-06,5
16,1.693734099377530e-04,1.911880810510084e-04,2.682097474109712e-01,8.895376082417822e-04,6
17,7.061288923908735e-05,7.630911139299776e-05,1.857942384740738e-01,3.710589860264581e-04,6
18,1.245078335981981e-08,2.591820293074652e-05,1.001135007806330e+00,5.196112115788396e-08,6
19,2.296125389518314e-05,2.591820293074652e-05,2.647975923678596e-01,1.205491570841843e-04,7
20,9.594899737902328e-06,1.035471013671137e-05,1.670364866853338e-01,5.037799399895821e-05,7
21,2.238790308378545e-10,3.508448089517448e-06,1.000158169828182e+00,9.307630991352116e-10,7
22,3.108171977828307e-06,3.508448089517448e-06,2.643182131154552e-01,1.631750174217813e-05,8
23,1.299226419732818e-06,1.401864427489795e-06,1.643811395040083e-01,6.820838685594474e-06,8
24,4.263753993621413e-12,4.748311234060110e-07,1.000021490989670e+00,1.699373793268878e-11,8
25,-5.084635108579802e-13,4.748294239773922e-07,1.000000000656959e+00,-5.007290324835368e-16,8
