iter,theta,mu,d_inf,gap,factorizations
0,9.999999999999944e-01,1.000000000000000e+00,1.065814103640150e-14,5.000000000000000e+00,1
1,1.871326165063712e-01,2.500000000000021e-01,8.819529242187446e-01,9.438362870300229e-01,1
2,3.869298369697680e-02,1.274491609043493e-01,1.236561288695049e+00,1.678210572981094e-01,1
3,-6.991800880984119e-03,1.038734496879194e-01,1.299828923655051e+00,-7.781571322979264e-02,1
4,8.585536389556436e-02,1.038734496879194e-01,8.394476947245229e-01,4.295693836981974e-01,2
5,1.531330954736270e-02,4.988147791657573e-02,1.314676540982305e+00,4.017605240469127e-02,2
6,-1.279609868323980e-02,4.363165764702127e-02,1.516668293083288e+00,-8.688946033202952e-02,2
7,3.814086794958485e-02,4.363165764702127e-02,8.892713794415286e-01,1.986478423051967e-01,3
8,1.341962319257865e-02,1.761946110225863e-02,7.709095994310089e-01,7.622309578019737e-02,3
9,1.317181684025411e-03,7.914760971056341e-03,9.796897585580369e-01,5.495226114247707e-03,3
10,-9.115835597559660e-05,7.329329317657568e-03,1.038433940883256e+00,-5.860331206735125e-04,3
11,6.786666261525430e-03,7.329329317657568e-03,2.924372306725004e-01,3.407708941521508e-02,4
12,2.779519212622197e-03,2.916490569019438e-03,4.020961913019955e-01,1.409255437625101e-02,4
13,2.256427378219871e-05,9.951525219060269e-04,1.012019320415428e+00,8.188509715742649e-05,4
14,-6.210460185295250e-07,9.866679219612134e-04,1.001777728009175e+00,-3.171566837426552e-06,4
15,9.140756893754214e-04,9.866679219612134e-04,2.674297587280385e-01,4.590338914219004e-03,5
16,3.810921129483990e-04,3.938680713762412e-04,1.901781674759689e-01,1.915670771164557e-03,5
17,3.418244159188011e-07,1.336061613262197e-04,1.002854106676773e+00,1.162487780745130e-06,5
18,-1.948771224869710e-09,1.334887679771606e-04,1.000047728106487e+00,-9.375120043025702e-09,5
19,1.236129477539900e-04,1.334887679771606e-04,2.646115251623939e-01,6.208745806516875e-04,6
20,5.165284887877942e-05,5.333078001540366e-05,1.671148032244457e-01,2.594724924213525e-04,6
21,6.103035729681144e-09,1.806767086003334e-05,1.000404801706044e+00,2.056289697518262e-08,6
22,-4.993988418942058e-12,1.806561157775231e-05,1.000000910986130e+00,-2.379218472085311e-11,6
23,1.672787861356648e-05,1.806561157775231e-05,2.642898693860525e-01,8.402168939716937e-05,7
24,6.992265888516653e-06,7.218438608539807e-06,1.643710374482924e-01,3.512175695449818e-05,7
25,1.112898697954656e-10,2.444951835625059e-06,1.000055097107454e+00,3.749614532085180e-10,7
26,-9.232953205065713e-14,2.444914332014014e-06,1.000000016769221e+00,-5.914620667692681e-14,7
