iter,theta,mu,d_inf,gap,factorizations
0,9.999999999999996e-01,1.000000000000000e+00,4.440892098500626e-16,2.000000000000000e+00,1
1,4.440892098500624e-16,2.500000000000002e-01,1.666666666666667e+00,4.444444444444450e-01,1
2,2.367114026730358e-01,2.500000000000002e-01,2.501463260420906e-01,4.687134077838225e-01,2
3,3.213500703624673e-02,9.767911478228364e-02,9.149731201574786e-01,3.180904536937715e-02,2
4,3.084039592444055e-03,8.955030893325296e-02,1.009463528320042e+00,1.020903851719565e-02,2
5,7.143270534805703e-02,8.955030893325296e-02,2.932189541921494e-01,1.683043200297489e-01,3
6,2.910109070982775e-02,3.473036129117135e-02,2.043924635221557e-01,6.655891204615326e-02,3
7,2.654476198301646e-05,1.259462869147502e-02,1.029669291817058e+00,4.757817976833167e-04,3
8,9.852508464873865e-03,1.259462869147502e-02,2.788566816077560e-01,2.349061009175869e-02,4
9,4.110563269644804e-03,4.996295085656667e-03,1.745016329822076e-01,9.688307607537690e-03,4
10,2.318419840356061e-07,1.723039917540156e-03,1.004309040516096e+00,8.127801902152454e-06,4
11,1.335331763796457e-03,1.723039917540156e-03,2.663480404656666e-01,3.206492981353740e-03,5
12,5.581442359505597e-04,6.878695433658600e-04,1.652509740027265e-01,1.338170562774514e-03,5
13,5.836700197663347e-10,2.334990073501254e-04,1.000594812814723e+00,1.396634420278977e-07,5
14,-2.460936838611494e-11,2.334640901841528e-04,1.000000062098082e+00,-5.723329666099120e-11,5
