iter,theta,mu,d_inf,gap,factorizations
0,9.999999999999996e-01,1.000000000000000e+00,4.440892098500626e-16,2.000000000000000e+00,1
1,4.440892098500624e-16,2.500000000000002e-01,1.666666666666667e+00,4.444444444444450e-01,1
2,-1.111111111111107e-01,1.111111111111112e-01,1.277777777777778e+00,-5.212620027434861e-02,1
3,-2.469135802469057e-02,1.237997256515776e-01,1.128654970760234e+00,-6.780809158495513e-02,1
4,6.858710562415379e-03,1.402394621416113e-01,1.015873015873017e+00,-8.974760237835944e-03,1
5,4.267642127724789e-03,1.424743187756394e-01,9.935773924213225e-01,5.572126568660685e-03,1
6,1.862859658920967e-04,1.410778483633579e-01,1.001484596370652e+00,2.226138532937738e-03,1
7,-4.327855773258447e-04,1.405207626891384e-01,1.001045056668596e+00,-1.232176208957325e-04,1
8,-1.168730133933593e-04,1.405515654065274e-01,1.000488713033989e+00,-2.748246666395282e-04,1
9,2.211550561526109e-05,1.406202631808382e-01,1.000084230314423e+00,-4.737995125803085e-05,1
10,1.790044718052996e-05,1.406321079192365e-01,9.999700506574198e-01,2.000812620600589e-05,1
11,1.520598750026635e-06,1.406271058432051e-01,1.000004576666319e+00,9.710511854166270e-06,1
12,-1.651027741189636e-06,1.406246782047644e-01,1.000004344781580e+00,-6.521442613705020e-08,1
13,-5.358504697738906e-07,1.406246945083705e-01,1.000001943893855e+00,-1.093438980970252e-06,1
14,6.436964383738084e-08,1.406249678679829e-01,1.000000419094113e+00,-2.357404342845371e-07,1
15,7.384330658055657e-08,1.406250268030853e-01,9.999998771440567e-01,6.910647704083672e-08,1
16,9.257441035970256e-09,1.406250095264655e-01,1.000000012247156e+00,4.155037397479688e-08,1
17,-6.147602427120089e-09,1.406249991388718e-01,1.000000017775758e+00,1.554918527268967e-09,1
