iter,theta,mu,d_inf,gap,factorizations
0,9.999999999999996e-01,1.000000000000000e+00,4.440892098500626e-16,2.000000000000000e+00,1
1,4.440892098500624e-16,2.500000000000002e-01,1.666666666666667e+00,4.444444444444450e-01,1
2,-1.111111111111107e-01,1.111111111111112e-01,1.277777777777778e+00,-5.212620027434861e-02,1
3,1.956483099964670e-01,1.111111111111112e-01,4.004310671444449e-01,2.137649475602473e-01,2
4,9.569440393593427e-02,3.967293268549082e-02,2.996568993453968e-01,7.222106231816133e-02,2
5,1.613452362904057e-02,1.675296755121165e-02,9.260197613706906e-01,4.774173629279708e-03,2
6,3.290596597518902e-02,1.675296755121165e-02,2.330505550871855e-01,3.168614195072364e-02,3
7,9.003039340304496e-03,6.367860225349114e-03,5.559909998501729e-01,1.206384899215837e-02,3
8,-2.521343256775633e-05,2.407247793640045e-03,1.005329577541422e+00,6.429832566139451e-05,3
9,-4.503335513153221e-07,2.391146196711379e-03,1.000061860283121e+00,-5.916862232252518e-07,3
10,5.564195844313950e-03,2.391146196711379e-03,2.649779706391248e-01,4.453363100871344e-03,4
11,2.326050103301456e-03,9.524545459493576e-04,1.670722983219828e-01,1.851737073219590e-03,4
12,9.246310654452213e-09,3.243245238417199e-04,1.000821082894467e+00,2.951938809159704e-06,4
13,-2.118294839141463e-09,3.235861183693552e-04,1.000001312720963e+00,-1.679501237736303e-09,4
14,0.000000000000000e+00,3.235865382445284e-04,1.000000002079144e+00,-2.691131605753183e-12,4
15,7.530102053728480e-04,3.235865382445284e-04,2.643395220691178e-01,6.020778952813983e-04,5
16,3.147757781073978e-04,1.292421285050138e-04,1.643821756787692e-01,2.514996247417172e-04,5
17,2.566869460880761e-11,4.380616229629685e-05,1.000111742671250e+00,5.394637062254115e-08,5
18,-2.852077178756401e-12,4.379267466529301e-05,1.000000023978029e+00,-4.193586802684127e-12,5
19,0.000000000000000e+00,4.379267571368970e-05,1.000000000001939e+00,-3.396534355853964e-16,5
