iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000002e+00,1.000000000000000e+00,3.552713678800501e-15,6.000000000000000e+00,1
1,2.663557983826264e-02,2.500000000000011e-01,1.559661129248302e+00,6.334967344953424e-02,1
2,2.353205044693212e-01,2.500000000000011e-01,3.703319527991678e-01,1.430265891939876e+00,2
3,4.699628465019185e-02,8.923968288413876e-02,1.400185381828774e+00,2.243117502383006e-01,2
4,8.784214322072019e-02,8.923968288413876e-02,3.791007769662672e-01,5.017056017744456e-01,3
5,1.634632072147356e-02,3.357547916308418e-02,1.153535781778213e+00,1.100191349417998e-01,3
6,3.319150886748756e-02,3.357547916308418e-02,3.177773830736704e-01,1.956177242819789e-01,4
7,8.101496707073920e-03,1.099579592388999e-02,1.098660194449794e+00,4.196969933865285e-02,4
8,1.140857075710323e-02,1.099579592388999e-02,3.116005635514152e-01,6.463253737262141e-02,5
9,1.706555892641643e-03,3.392927286824653e-03,9.687075439631785e-01,1.168014420299089e-02,5
10,5.692549059127228e-07,2.192432273470374e-03,1.048792674816756e+00,-2.236624820883305e-05,5
11,2.244672016977368e-03,2.192432273470374e-03,2.868062040894458e-01,1.223347694404892e-02,6
12,9.340256231475098e-04,8.747580557810137e-04,2.992112655996975e-01,5.091366241659105e-03,6
13,8.107287496653006e-07,2.972517697713853e-04,1.010927688840101e+00,5.288298546403955e-06,6
14,3.046282104994543e-04,2.972517697713853e-04,2.711316717712566e-01,1.659676064028329e-03,7
15,1.270697079148221e-04,1.186180874910715e-04,2.029230301377350e-01,6.919634697597801e-04,7
16,2.350969182937955e-08,4.030571541242484e-05,1.003405067579284e+00,1.652421150606892e-07,7
17,4.128107444445649e-05,4.030571541242484e-05,2.659699423921676e-01,2.249701483475934e-04,8
18,1.724959284459138e-05,1.610080959571775e-05,1.723631436831344e-01,9.399441017946606e-05,8
19,4.923026410071891e-10,5.456975285101867e-06,1.000548174982993e+00,3.513326825334826e-09,8
