iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000002e+00,1.000000000000000e+00,3.552713678800501e-15,6.000000000000000e+00,1
1,2.663557983826264e-02,2.500000000000011e-01,1.559661129248302e+00,6.334967344953424e-02,1
2,-6.058226818296888e-02,2.337819620684204e-01,1.392120083723334e+00,-4.965639191437488e-01,1
3,-6.131191280254100e-02,2.667232593288689e-01,1.389134879084321e+00,-5.043490375686404e-01,1
4,-3.923738300483380e-02,3.029294147819621e-01,1.283203706595005e+00,-3.495719024380206e-01,1
5,-3.998262067314295e-02,3.280526470595338e-01,1.206655649602678e+00,-3.339902076077310e-01,1
6,-5.284790682623056e-02,3.528176465324273e-01,1.161870784764282e+00,-3.965022816591661e-01,1
7,-6.839246744245320e-02,3.830877822618072e-01,1.140042820275277e+00,-4.785497029814132e-01,1
8,-6.209531918513040e-02,4.205822914098463e-01,2.111868400654662e+00,-4.308866620763183e-01,1
9,-5.766344814679452e-02,4.544585523878131e-01,2.066028384183122e+00,-4.001392625194784e-01,1
10,-5.299901437083209e-02,4.860314142254455e-01,1.742836349029742e+00,-3.675984319722949e-01,1
11,-4.563439175900258e-02,5.151480845928081e-01,3.234932696412931e+00,-3.158387653493175e-01,1
12,-3.695581648726862e-02,5.401917549991754e-01,3.362153819196229e+00,-2.552917432763766e-01,1
13,-2.942147100771174e-02,5.604148523833334e-01,2.586904280866267e+00,-2.032750161289121e-01,1
14,-2.221684480193519e-02,5.765874538272859e-01,2.032792757231011e+00,-1.533012536367440e-01,1
15,-5.046686510792040e-03,5.890610542334289e-01,1.528289947516727e+00,-3.111525101576573e-02,1
16,5.451613678446285e-03,5.915335154128840e-01,1.270381591560344e+00,4.047227898671490e-02,1
17,6.613518036900814e-03,5.881050999778079e-01,1.150193243873449e+00,4.624324910973865e-02,1
18,3.080081847075008e-03,5.842201504263241e-01,1.100298008014359e+00,2.049639308887796e-02,1
19,-4.161700078961242e-04,5.824933685627715e-01,1.077819022971692e+00,-3.803620079652514e-03,1
20,-1.947420747502232e-03,5.827984259523876e-01,1.060593303766058e+00,-1.395454298877707e-02,1
21,-1.820626652112003e-03,5.839537364730992e-01,1.042878978123680e+00,-1.264293129778560e-02,1
22,-1.029051438093579e-03,5.850028047289907e-01,1.026812736293410e+00,-6.954964141898667e-03,1
23,-2.725539741328687e-04,5.855798118961276e-01,1.016726461663171e+00,-1.694434111509935e-03,1
24,2.222967989739749e-04,5.857195338319156e-01,1.012578353810198e+00,1.679811863748881e-03,1
25,4.886279916969359e-04,5.855786662423909e-01,1.007575871740267e+00,3.467460163644187e-03,1
26,6.022364981798431e-04,5.852891598663973e-01,1.006756606763355e+00,4.211224094871735e-03,1
27,6.007639466519950e-04,5.849378609739805e-01,1.007459374214313e+00,4.166404094248399e-03,1
28,4.993195996479112e-04,5.845904070082681e-01,1.007869833300350e+00,3.433519838946797e-03,1
29,3.235027389072698e-04,5.843040953727242e-01,1.007596586888306e+00,2.192963894483313e-03,1
30,1.185648560358185e-04,5.841212096837937e-01,1.006622936073016e+00,7.634135581060519e-04,1
31,-6.421329379088973e-05,5.840574863727167e-01,1.005138819833154e+00,-4.981388687643751e-04,1
32,-1.862533959049396e-04,5.840989174861874e-01,1.003428178195043e+00,-1.327638352801142e-03,1
33,-2.322501012767267e-04,5.842094934708999e-01,1.001788073504474e+00,-1.625269346632763e-03,1
34,-2.096878622554472e-04,5.843448882419046e-01,1.001979009533694e+00,-1.449246764634982e-03,1
35,-1.411253519653031e-04,5.844656272485181e-01,1.002253439862765e+00,-9.603296919951099e-04,1
36,-5.444524120778336e-05,5.845456325374629e-01,1.001986801894567e+00,-3.535491816122338e-04,1
37,2.532836768906259e-05,5.845750791263288e-01,1.001693764502478e+00,1.982011770236269e-04,1
38,8.110972500969885e-05,5.845585506397716e-01,1.001309608682902e+00,5.785784403311567e-04,1
39,1.056014809073599e-04,5.845103268268480e-01,1.001116427671048e+00,7.397166295763924e-04,1
40,1.004927479021561e-04,5.844486768895363e-01,1.000762954653605e+00,6.958957617508865e-04,1
41,7.388266743672745e-05,5.843906803148518e-01,1.000653435428133e+00,5.051473971255938e-04,1
42,3.690311115994924e-05,5.843485807046610e-01,1.000734585080917e+00,2.455871181648028e-04,1
43,4.543416769436583e-07,5.843281120615408e-01,1.000656326475291e+00,-7.204546407457713e-06,1
44,-2.724627881754341e-05,5.843287100773059e-01,1.000467794503980e+00,-1.969601650761987e-04,1
45,-4.192905398933020e-05,5.843451215802801e-01,1.000233449828338e+00,-2.951656650052037e-04,1
46,-4.332963212223728e-05,5.843697172946769e-01,1.000243058705198e+00,-3.011195764170971e-04,1
47,-3.430555984640226e-05,5.843948095168260e-01,1.000363314746045e+00,-2.355365036272872e-04,1
48,-1.943771055377541e-05,5.844144367607303e-01,1.000372864052120e+00,-1.306955375102170e-04,1
49,-3.563681603355154e-06,5.844253274632240e-01,1.000454424756211e+00,-2.024245394105506e-05,1
50,9.400017771180320e-06,5.844270138862305e-01,1.000408573723284e+00,6.890296012507235e-05,1
51,1.714278307460077e-05,5.844212716265932e-01,1.000272976167146e+00,1.211600843022964e-04,1
52,1.911087919595793e-05,5.844111746840803e-01,1.000180327346704e+00,1.331838513722872e-04,1
53,1.621697065082473e-05,5.844000758238705e-01,1.000103963592900e+00,1.117236805052713e-04,1
54,1.028042024431391e-05,5.843907653620618e-01,1.000107923982106e+00,6.966281808606922e-05,1
55,3.391537349890113e-06,5.843849600108797e-01,1.000113740187398e+00,2.158472536972766e-05,1
56,-2.635514909751199e-06,5.843831611953120e-01,1.000092801436461e+00,-1.999855129319883e-05,1
57,-6.616030877524102e-06,5.843848276727585e-01,1.000056093123259e+00,-4.704343055728089e-05,1
58,-8.118811085628386e-06,5.843887479053289e-01,1.000022415837122e+00,-5.677076903687350e-05,1
59,-7.386775221240133e-06,5.843934787618024e-01,1.000055796573863e+00,-5.105732683663433e-05,1
60,-5.120787043231220e-06,5.843977335082132e-01,1.000068432547622e+00,-3.489678806412044e-05,1
61,-2.209097357922020e-06,5.844006415509015e-01,1.000083850237274e+00,-1.450668841229685e-05,1
62,5.222017003052342e-07,5.844018504242975e-01,1.000086412814192e+00,4.397495149355279e-06,1
63,2.485082314648187e-06,5.844014839530677e-01,1.000068169032920e+00,1.780228138947848e-05,1
64,3.408731046309275e-06,5.844000004192721e-01,1.000038464525047e+00,2.391808083901381e-05,1
65,3.326663822791780e-06,5.843980072378778e-01,1.000026958634304e+00,2.306370011329051e-05,1
66,2.496653055696110e-06,5.843960852568114e-01,1.000015798577303e+00,1.709160154783618e-05,1
67,1.287918188511717e-06,5.843946609521524e-01,1.000020238407191e+00,8.595733513416803e-06,1
