iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000002e+00,1.000000000000000e+00,3.552713678800501e-15,6.000000000000000e+00,1
1,2.663557983826264e-02,2.500000000000011e-01,1.559661129248302e+00,6.334967344953424e-02,1
2,-6.058226818296888e-02,2.337819620684204e-01,1.392120083723334e+00,-4.965639191437488e-01,1
3,1.650167459274133e-01,2.337819620684204e-01,9.682607316604650e-01,1.143667324757516e+00,2
4,8.717297306714632e-02,1.067926650838471e-01,7.980748002348310e-01,4.809657049606720e-01,2
5,1.042372437979453e-02,5.781602613531934e-02,1.332096796476262e+00,3.308535233292992e-02,2
6,6.013132087456009e-02,5.781602613531934e-02,4.366066746600623e-01,3.191409004500453e-01,3
7,1.567369181093589e-02,2.232370739656288e-02,1.122949448420076e+00,9.196378115887748e-02,3
8,1.949496421345853e-03,1.203713819417127e-02,1.419237174055054e+00,1.164471004556177e-02,3
9,1.259461053963223e-02,1.203713819417127e-02,3.118582195686478e-01,6.834135511837798e-02,4
10,4.763417930162446e-03,4.530407187114898e-03,4.076216065882797e-01,2.565986272964516e-02,4
11,3.742580082691737e-05,1.705316790888532e-03,1.167987871635230e+00,2.805107947751115e-04,4
12,1.767067476398158e-03,1.705316790888532e-03,3.322974441732578e-01,9.541423654564665e-03,5
13,7.176214932038728e-04,6.702636277445610e-04,4.229652860218584e-01,3.838412989772698e-03,5
14,2.792971756336981e-06,2.348473953386292e-04,1.018255746649986e+00,1.954006499026747e-05,5
15,2.423146290484803e-04,2.348473953386292e-04,2.762666062608710e-01,1.313689885334781e-03,6
16,1.002891301196218e-04,9.320039316725356e-05,2.202798023873402e-01,5.420872464644376e-04,6
17,1.112704049219527e-07,3.206570396358564e-05,1.006237172612533e+00,7.916241576940482e-07,6
18,3.297590143248902e-05,3.206570396358564e-05,2.673872309384347e-01,1.790651211718520e-04,7
19,1.375237142189478e-05,1.279154894915284e-05,1.776351200127381e-01,7.462341776105006e-05,7
20,2.396260549670464e-09,4.350011489614139e-06,1.000981702463269e+00,1.707061183553492e-08,7
21,4.469277843007803e-06,4.350011489614139e-06,2.647232212659186e-01,2.427988531411190e-05,8
22,1.867593296784251e-06,1.737720166727323e-06,1.660320381485431e-01,1.014479437324694e-05,8
23,4.484516581151401e-11,5.889297400896514e-07,1.000137759134858e+00,3.241873856909338e-10,8
24,-6.728417031556703e-13,5.889027216192730e-07,1.000000032737620e+00,6.365144109216677e-14,8
