iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000000e+00,2.058823529411765e-01,1.090931376382376e-15,1.400000000000000e+01,1
1,4.512955137750615e-16,5.147058823529417e-02,1.680626329732986e+00,-1.992190644389753e-01,1
2,2.403803721032114e-01,5.147058823529411e-02,4.493758248334876e-01,3.406190239534362e+00,2
3,2.222392857620090e-02,1.669054850226410e-02,1.501333705976393e+00,2.768073528812859e-01,2
4,8.002277621607494e-02,1.669054850226406e-02,4.239184789705465e-01,1.069300615409922e+00,3
5,1.897832929467400e-02,6.207127080699705e-03,8.998829338216515e-01,2.662371606479209e-01,3
6,-3.585121977620120e-04,3.885147232702209e-03,1.234633182490176e+00,-1.207272397462472e-02,3
7,1.723017079896185e-02,3.885147232702201e-03,5.786660132123909e-01,2.338030104335111e-01,4
8,7.492656479510382e-03,1.687159408716749e-03,6.292214913887313e-01,1.032823416302688e-01,4
9,5.907918561890348e-04,6.821161613686789e-04,1.356270891387434e+00,8.277814071777252e-03,4
10,2.927315761618655e-03,6.821161613686787e-04,4.608498001749020e-01,4.106349439057030e-02,5
11,1.136803113162058e-03,2.990937793029441e-04,7.496428003171562e-01,1.579851970134411e-02,5
12,-2.930961854714434e-05,1.507904152435056e-04,1.268199154273802e+00,-6.217915004900314e-04,5
13,5.199450581749099e-04,1.507904152435068e-04,6.675321967343085e-01,7.485017381440948e-03,6
14,2.507230083978647e-04,8.404789439545257e-05,8.250675805982537e-01,3.634996269731463e-03,6
15,6.094466120716534e-06,4.963335115088627e-05,1.212044608606770e+00,7.174509410744169e-05,6
16,1.292753564398474e-04,4.963335115088597e-05,1.421380554353451e+00,1.907210395132248e-03,7
17,2.087230662077369e-04,4.963335115088762e-05,6.291693149071141e-01,3.098593816082189e-03,8
18,7.697883878160862e-05,1.931767728609646e-05,6.631756677140427e-01,1.146718779181863e-03,8
19,2.420476600935977e-06,8.578809280024996e-06,1.418706192271739e+00,3.309814094123813e-05,8
20,3.176552991727874e-05,8.578809280023513e-06,9.482852009166828e-01,4.751164365633886e-04,9
21,1.443496767970285e-05,4.149957580146339e-06,8.802091479501839e-01,2.143196132628909e-04,9
22,1.934148706055651e-06,2.156729544287359e-06,1.417934032324045e+00,2.793157726088985e-05,9
23,8.469537395373782e-06,2.156729544287428e-06,6.718128698718548e-01,1.257572645832419e-04,10
24,3.306975087720929e-06,9.714490989550118e-07,6.817550918346907e-01,4.910407685586923e-05,10
25,4.301330580550381e-07,5.380639262308323e-07,1.333148812226780e+00,6.301613009281058e-06,10
26,1.957178217648243e-06,5.380639262358510e-07,6.808686199279353e-01,2.916278460425533e-05,11
27,9.259207995277520e-07,2.710372339653655e-07,8.152318205945290e-01,1.383462663135293e-05,11
28,1.799125496304776e-07,1.429168759361874e-07,1.025734067900327e+00,2.683043264097635e-06,11
29,4.862750024290289e-07,1.429168759328184e-07,8.815569375384908e-01,7.261723726067747e-06,12
30,2.443696066222242e-07,7.647048867345363e-08,9.178923796120663e-01,3.651353105713017e-06,12
31,7.064517472613587e-08,4.230536889841959e-08,1.111190528666920e+00,1.059283186476353e-06,12
32,3.682329578727197e-08,3.314659424400818e-08,1.271817616520901e+00,5.520303260490861e-07,12
33,2.331611586108341e-08,2.840909525643076e-08,1.255082347205562e+00,3.488398132068533e-07,12
34,1.035722109752661e-08,2.535437489746875e-08,1.376618742429160e+00,1.543218446384790e-07,12
35,6.857426073017670e-10,2.388724173970129e-08,1.378724030120334e+00,9.358643531329871e-09,12
36,-5.238669061253767e-09,2.359763699587749e-08,1.318620491467216e+00,-7.932574278105101e-08,12
37,-8.135117549173972e-09,2.403294107641283e-08,1.247499421019443e+00,-1.225921425647012e-07,12
38,-9.062486561599751e-09,2.483330120429182e-08,1.187433086225008e+00,-1.363560880977775e-07,12
39,-8.933245216093474e-09,2.576543719026141e-08,1.142407729531211e+00,-1.343097842455195e-07,12
40,-8.336924192018706e-09,2.670280189472685e-08,1.110045418437906e+00,-1.252891170525367e-07,12
41,-7.590104416938661e-09,2.758753171169241e-08,1.086967006145834e+00,-1.140336644265222e-07,12
42,-6.843670217521772e-09,2.839888546287927e-08,1.070377770491524e+00,-1.027993800517901e-07,12
43,-6.163037175862251e-09,2.913413920088679e-08,1.058269917267186e+00,-9.256248635278059e-08,12
44,-5.571699529980243e-09,2.979868293176023e-08,1.049266126770243e+00,-8.367212519374538e-08,12
45,-5.072046360174974e-09,3.040110341533625e-08,1.042431044487735e+00,-7.616198589404017e-08,12
46,-4.655742319396808e-09,3.095066082032224e-08,1.037127151313407e+00,-6.990559182826780e-08,12
47,-4.309741585520882e-09,3.145597060928545e-08,1.032917213590991e+00,-6.470626007974840e-08,12
48,-4.020066133194595e-09,3.192439090948337e-08,1.029500079620019e+00,-6.035363576670027e-08,12
49,-3.774017057380678e-09,3.236185726984997e-08,1.026667875588271e+00,-5.665675367115159e-08,12
50,-3.561175570961036e-09,3.277298284944222e-08,1.024276732572166e+00,-5.345900268095957e-08,12
51,-3.373595951670509e-09,3.316128375420095e-08,1.022226469770335e+00,-5.064096035763417e-08,12
52,-3.205528533360239e-09,3.352943505583204e-08,1.020446443639969e+00,-4.811622017626034e-08,12
53,-3.052966415408236e-09,3.387950237511615e-08,1.018885835496773e+00,-4.582455957336242e-08,12
54,-2.913168694533983e-09,3.421312713571793e-08,1.017507084948847e+00,-4.372477708511759e-08,12
55,-2.784254142066640e-09,3.453166159362240e-08,1.016281553844218e+00,-4.178858536930484e-08,12
56,-2.664888306075540e-09,3.483626049952635e-08,1.015212385988589e+00,-3.999591640972301e-08,12
57,-2.554069237846610e-09,3.512793922218265e-08,1.014427260978763e+00,-3.833169742251847e-08,12
58,-2.450987380105232e-09,3.540760880080404e-08,1.013708401513294e+00,-3.678374808155459e-08,12
59,-2.354941468711053e-09,3.567609595969502e-08,1.013048380031642e+00,-3.534152596966222e-08,12
60,-2.265305962935978e-09,3.593415418956487e-08,1.012440795500237e+00,-3.399561579433806e-08,12
61,-2.181500283186439e-09,3.618247127583367e-08,1.011880001992240e+00,-3.273729339646964e-08,12
62,-2.102995987302525e-09,3.642167377742744e-08,1.011361048580722e+00,-3.155860913888115e-08,12
63,-2.029305079925100e-09,3.665233223073383e-08,1.010879546556580e+00,-3.045223457259185e-08,12
64,-1.959993124955578e-09,3.687496532065152e-08,1.010431669783650e+00,-2.941163509606206e-08,12
65,-1.894668887920581e-09,3.709004539021160e-08,1.010014053480074e+00,-2.843093106919506e-08,12
66,-1.832984962855971e-09,3.729800299029765e-08,1.009623754326837e+00,-2.750490477856320e-08,12
67,-1.774636681992374e-09,3.749923152739268e-08,1.009258210077798e+00,-2.662897890628266e-08,12
68,-1.719356808326658e-09,3.769409179088364e-08,1.008915185296569e+00,-2.579913605053067e-08,12
69,-1.666907553045584e-09,3.788291591990524e-08,1.008592709723481e+00,-2.501180454676762e-08,12
70,-1.617079604718386e-09,3.806601055662592e-08,1.008289054022288e+00,-2.426383771390978e-08,12
71,-1.569683775235318e-09,3.824365986659780e-08,1.008002674689214e+00,-2.355239557095894e-08,12
72,-1.524552449609752e-09,3.841612770692813e-08,1.007732207364991e+00,-2.287495787846711e-08,12
73,-1.481532030114347e-09,3.858365990285492e-08,1.007476420819286e+00,-2.222921777110319e-08,12
74,-1.440483249757702e-09,3.874648575423282e-08,1.007234209046961e+00,-2.161308286693076e-08,12
75,-1.401278399768434e-09,3.890481955886634e-08,1.007004570781845e+00,-2.102463517558823e-08,12
76,-1.363799916868269e-09,3.905886184885553e-08,1.006786596384050e+00,-2.046211020495915e-08,12
77,-1.327942590514789e-09,3.920880047970124e-08,1.006579472249250e+00,-1.992392381269600e-08,12
78,-1.293605515304942e-09,3.935481192158532e-08,1.006382439278789e+00,-1.940856271784360e-08,12
79,-1.260697221441174e-09,3.949706175134947e-08,1.006194811882857e+00,-1.891465433679210e-08,12
80,-1.229135155306005e-09,3.963570566094693e-08,1.006015972119404e+00,-1.844095698660960e-08,12
81,-1.198841546668366e-09,3.977089039707560e-08,1.005845347788656e+00,-1.798630256687738e-08,12
82,-1.169743882812140e-09,3.990275428268570e-08,1.005682411715991e+00,-1.754960342703789e-08,12
83,-1.141777128228920e-09,4.003142779131093e-08,1.005526689364552e+00,-1.712988121087022e-08,12
84,-1.114879228821852e-09,4.015703433518168e-08,1.005377736628938e+00,-1.672620466287100e-08,12
85,-1.088992413162585e-09,4.027969059837962e-08,1.005235143699158e+00,-1.633770770566891e-08,12
86,-1.064065982347533e-09,4.039950700428367e-08,1.005098545944094e+00,-1.596362569461362e-08,12
87,-1.040047167945062e-09,4.051658845048531e-08,1.004967581858360e+00,-1.560317079143812e-08,12
88,-1.016893069608677e-09,4.063103412966694e-08,1.004841944605407e+00,-1.525569505724460e-08,12
89,-9.945593071353771e-10,4.074293854920555e-08,1.004721330940890e+00,-1.492053318573940e-08,12
90,-9.730057704313368e-10,4.085239139659048e-08,1.004605465330354e+00,-1.459708259540025e-08,12
91,-9.521942477404243e-10,4.095947799389272e-08,1.004494088806124e+00,-1.428477032900923e-08,12
92,-9.320893836552002e-10,4.106427950978765e-08,1.004386962344318e+00,-1.398306586650123e-08,12
93,-9.126587411365244e-10,4.116687326626857e-08,1.004283866470688e+00,-1.369148127185426e-08,12
94,-8.938710278306716e-10,4.126733304692516e-08,1.004184592844629e+00,-1.340954642841217e-08,12
95,-8.756957550880225e-10,4.136572922377526e-08,1.004088942170900e+00,-1.313680511430575e-08,12
96,-8.581064051920903e-10,4.146212885571929e-08,1.003996737537328e+00,-1.287285818872267e-08,12
97,-8.410777252605369e-10,4.155659610457482e-08,1.003907812252914e+00,-1.261732511010301e-08,12
98,-8.245829513155107e-10,4.164919236870324e-08,1.003821997272741e+00,-1.236980663817626e-08,12
99,-8.086000963411091e-10,4.173997614298876e-08,1.003739148090031e+00,-1.212997196409909e-08,12
100,-7.931082346074226e-10,4.182900351915829e-08,1.003659128479305e+00,-1.189750559680035e-08,12
101,-7.780853778631260e-10,4.191632829606887e-08,1.003581800884645e+00,-1.167207865440703e-08,12
102,-7.635125362246480e-10,4.200200187932301e-08,1.003507043623664e+00,-1.145340559264701e-08,12
