iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000000e+00,2.058823529411765e-01,1.090931376382376e-15,1.400000000000000e+01,1
1,4.512955137750615e-16,5.147058823529417e-02,1.680626329732986e+00,-1.992190644389753e-01,1
2,2.403803721032114e-01,5.147058823529411e-02,4.493758248334876e-01,3.406190239534362e+00,2
3,2.222392857620090e-02,1.669054850226410e-02,1.501333705976393e+00,2.768073528812859e-01,2
4,-1.123498674256426e-02,1.399403488260267e-02,1.302267362886439e+00,-1.739962022378498e-01,2
5,6.136590801290225e-02,1.399403488260268e-02,6.847923364704563e-01,8.254298074760537e-01,3
6,2.863171005047811e-02,6.363905240763593e-03,6.585659762073456e-01,3.917635681058348e-01,3
7,2.774234061167888e-03,2.506047256683035e-03,1.170946959968500e+00,3.931370163493053e-02,3
8,1.127732707172338e-02,2.506047256683035e-03,6.071238924951489e-01,1.559029546376528e-01,4
9,4.299772482960279e-03,1.003667525652152e-03,7.389993370749167e-01,5.986980965522912e-02,4
10,9.799526969325547e-05,4.345312623539139e-04,1.315815997904394e+00,1.071341624886386e-03,4
11,-2.062710373565177e-04,4.202283374089036e-04,1.263086336394765e+00,-3.430174702012158e-03,4
12,1.633310182054506e-03,4.202283374088962e-04,6.320526600887347e-01,2.322259780580943e-02,5
13,7.840663921660060e-04,2.113924250772839e-04,7.539817351782369e-01,1.111948642690315e-02,5
14,5.461627028902604e-05,1.056190862094818e-04,1.191208234578490e+00,7.119909434755989e-04,5
15,3.373839568576702e-04,1.056190862094805e-04,8.686256147609206e-01,4.889525848291984e-03,6
16,1.598074807489555e-04,6.124822543613312e-05,8.681111948588610e-01,2.331008974503735e-03,6
17,1.093768984269474e-06,3.946627708095062e-05,1.160493933250870e+00,-5.753339700270352e-08,6
18,8.923144534381966e-05,3.946627708095179e-05,1.604034286583870e+00,1.320279621216899e-03,7
19,7.080460536236067e-05,2.713707687698744e-05,7.386547831603749e-01,1.054910845432657e-03,7
20,3.895291999885850e-05,1.823345948530600e-05,8.529110841384073e-01,5.815476223829039e-04,7
21,7.119171492981163e-05,1.823345948530518e-05,8.657972836907106e-01,1.065362469477516e-03,8
22,3.106417237848093e-05,7.816865812808289e-06,7.424529879495745e-01,4.644844120959549e-04,8
23,-2.954679999466357e-07,3.320537499939422e-06,1.548619215946582e+00,-5.201356165197141e-06,8
24,1.314986025250464e-05,3.320537499938675e-06,1.041391505657104e+00,1.968748721084122e-04,9
25,4.703535965161076e-06,1.341134333587117e-06,9.033756256500881e-01,7.000090469959055e-05,9
26,-4.129623969049078e-07,6.779025868895547e-07,1.453543032195601e+00,-6.405237258775632e-06,9
27,2.433075614694871e-06,6.779025868902101e-07,1.432231118493347e+00,3.629910892382281e-05,10
28,1.142683801363882e-06,3.226901742495478e-07,7.964830196183329e-01,1.703605987667651e-05,10
29,4.509305363642151e-08,1.607580036721282e-07,1.215200596006587e+00,6.399637841643351e-07,10
30,4.708675644949363e-07,1.607580036726201e-07,8.135672285183332e-01,7.013731859873588e-06,11
31,2.882255129605142e-07,9.599369576941599e-08,7.649318176689018e-01,4.310848198502325e-06,11
32,1.018371628213201e-07,5.789310097213154e-08,1.128032141672856e+00,1.522619036226223e-06,11
33,1.979202938204641e-07,5.789310097193335e-08,8.058397980146123e-01,2.959639271215334e-06,12
34,1.068508666754674e-07,3.116057917478394e-08,7.148437837285235e-01,1.600360472442216e-06,12
35,1.843998053415019e-08,1.634731984347128e-08,1.504231640699843e+00,2.755354785933711e-07,12
36,5.176446552357111e-08,1.634731984363426e-08,1.082400833168739e+00,7.752480513020885e-07,13
37,2.262064376173720e-08,9.089344969786324e-09,9.006290975912051e-01,3.388112598502681e-07,13
38,2.452653879329187e-09,6.047347045708799e-09,2.112124033817001e+00,3.661618037158444e-08,13
39,1.233148532541502e-08,6.047347046041138e-09,1.106849088654745e+00,1.847907332384361e-07,14
40,4.054289351819611e-09,4.321951674110183e-09,1.592237387199036e+00,6.072647609770601e-08,14
41,9.525355049865298e-10,3.817856440673931e-09,1.561719836658483e+00,1.425690166046712e-08,14
42,5.932343387021369e-09,3.817856442034111e-09,1.879409651079408e+00,8.893346963583531e-08,15
43,6.389577975670635e-09,2.988199154557736e-09,1.228939119321758e+00,9.585725015551611e-08,15
44,5.207395749952903e-09,2.179823032973804e-09,8.412870905811846e-01,7.810812295024799e-08,15
45,8.335911602291584e-09,2.179823029782232e-09,1.352324906544909e+00,1.249996928735602e-07,16
46,3.138811189907162e-09,9.604410508344002e-10,1.098662442501342e+00,4.706095479383781e-08,16
47,1.397011622326275e-10,5.257610198397795e-10,1.721515603267551e+00,2.084157303886484e-09,16
48,-3.856751426832374e-10,4.962666057951753e-10,1.601621846715280e+00,-5.794564754454410e-09,16
49,6.172225168006246e-10,4.962666055384121e-10,1.382682192255945e+00,9.217785246878031e-09,17
50,2.331101607530683e-10,4.159341445509628e-10,1.213958035549180e+00,3.458877078388305e-09,17
51,-1.679409918933758e-11,3.841884587415969e-10,1.247348395612266e+00,-2.868419306220265e-10,17
52,1.646730411306956e-10,3.841884585659530e-10,1.181277049104219e+00,2.468773709201897e-09,18
53,7.096420620413915e-12,3.596094286939348e-10,1.133512275503621e+00,1.053027064679093e-10,18
54,-5.795946751774744e-11,3.565887248788705e-10,1.648105914623249e+00,-8.701759185767878e-10,18
55,7.382373278276398e-11,3.565887249513517e-10,3.077086637705524e+00,1.087582137396177e-09,19
56,7.427858590947284e-11,3.409835242707206e-10,1.088432097715569e+00,1.096149141742834e-09,19
57,4.338656107870027e-11,3.302976791038071e-10,1.018525997625886e+00,6.375073646982217e-10,19
58,1.690830536169512e-10,3.302976792498932e-10,2.906501137632634e+00,2.529430473256542e-09,20
59,1.945625632342066e-10,2.955007904455256e-10,1.495579505468316e+00,2.911510218049484e-09,20
60,1.641279452104862e-10,2.675213974233940e-10,9.790694863034362e-01,2.457614677282000e-09,20
