iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000000e+00,2.058823529411765e-01,1.090931376382376e-15,1.400000000000000e+01,1
1,4.512955137750615e-16,5.147058823529417e-02,1.680626329732986e+00,-1.992190644389753e-01,1
2,2.403803721032114e-01,5.147058823529411e-02,4.493758248334876e-01,3.406190239534362e+00,2
3,2.222392857620090e-02,1.669054850226410e-02,1.501333705976393e+00,2.768073528812859e-01,2
4,-1.123498674256426e-02,1.399403488260267e-02,1.302267362886439e+00,-1.739962022378498e-01,2
5,6.136590801290225e-02,1.399403488260268e-02,6.847923364704563e-01,8.254298074760537e-01,3
6,2.863171005047811e-02,6.363905240763593e-03,6.585659762073456e-01,3.917635681058348e-01,3
7,2.774234061167888e-03,2.506047256683035e-03,1.170946959968500e+00,3.931370163493053e-02,3
8,-1.058535796183327e-04,2.175951316741327e-03,1.180941148514877e+00,-2.712366023440715e-03,3
9,9.406903586453165e-03,2.175951316741327e-03,7.381526535664991e-01,1.291038666157638e-01,4
10,4.251879342511792e-03,9.544220091828315e-04,5.381286741239177e-01,5.929672996381249e-02,4
11,2.618809423554634e-04,3.709326978960075e-04,1.324475811109498e+00,3.629944486628338e-03,4
12,-1.580832534730285e-04,3.374302401387515e-04,1.288941917805652e+00,-2.665930496568075e-03,4
13,1.241220398235526e-03,3.374302401387514e-04,7.377258239088101e-01,1.749531345805143e-02,5
14,6.145108491133269e-04,1.813126598174551e-04,8.308897187025593e-01,8.648662588655058e-03,5
15,4.620063177636141e-05,9.915287301649003e-05,1.176254210526143e+00,5.651462754246717e-04,5
16,-7.573183462124543e-05,9.342639003760045e-05,1.267597092894044e+00,-1.174879686002701e-03,5
17,1.765889596954233e-04,9.342639003759561e-05,1.013535854472164e+00,2.553395840330865e-03,6
18,1.054701433791307e-04,7.026152974346318e-05,9.350124387391231e-01,1.546377949872399e-03,6
19,2.703141152236833e-05,5.651296942189146e-05,1.016993841229879e+00,3.914371246027067e-04,6
20,-9.905246358738291e-06,5.290243913294412e-05,1.249720943964819e+00,-1.511222761577022e-04,6
21,3.363126008058125e-05,5.290243913294362e-05,7.439358536009371e+00,5.036548638332750e-04,7
22,3.942644843702087e-05,4.426226272117572e-05,1.692125317204863e+00,5.949413281359671e-04,7
23,4.370544067030973e-05,3.793777799233731e-05,1.369770649320091e+00,6.527443397663043e-04,7
24,4.296412416413553e-05,3.205628092951608e-05,1.025234704836886e+00,6.415107112296141e-04,7
25,3.851498290223994e-05,2.688944302925324e-05,9.122186962765587e-01,5.766045100002145e-04,7
26,3.209246957641846e-05,2.233342927382874e-05,9.294737180695484e-01,4.809400962683642e-04,7
27,2.421350398662552e-05,1.852597764155569e-05,9.397864622196586e-01,3.629955336290661e-04,7
28,1.551044517291573e-05,1.561227777642172e-05,9.593474217851375e-01,2.325636362902342e-04,7
29,6.856581078480395e-06,1.368394383294252e-05,1.013439235789692e+00,1.028305360540496e-04,7
30,9.325788202454390e-07,1.280009425360180e-05,1.079226745277234e+00,1.400235899954932e-05,7
31,-3.205601072704534e-07,1.266276021567200e-05,1.470700690974939e+00,-4.860370218993243e-06,7
32,4.102252764066727e-06,1.266276021566945e-05,1.494580756848849e+01,6.146583118887925e-05,8
33,4.596279117986305e-06,1.135184323341655e-05,2.101767607836384e+00,6.887406305011896e-05,8
34,4.753436901217433e-06,1.047242844349783e-05,1.801892310929729e+00,7.140687831492544e-05,8
35,5.068614710663768e-06,9.756805663872354e-06,1.750507238295065e+00,7.599984347106577e-05,8
36,5.548300259300261e-06,9.110689174184146e-06,1.657516347780188e+00,8.319071499724004e-05,8
37,5.898039876093022e-06,8.439605950159115e-06,1.292179520995541e+00,8.845228905321933e-05,8
38,6.005853853448450e-06,7.743471439411120e-06,1.078922342466554e+00,9.007589415525093e-05,8
39,5.861264957958153e-06,7.041548642863953e-06,9.654540246571421e-01,8.790533115300638e-05,8
40,5.479536695341801e-06,6.358575889631110e-06,9.474732224157101e-01,8.217525514636441e-05,8
41,4.880934365265664e-06,5.719746054286067e-06,9.523386066509935e-01,7.319366194048110e-05,8
42,4.109948462427674e-06,5.154510660087406e-06,9.594468925848536e-01,6.163170907867889e-05,8
43,3.248631640740542e-06,4.682767951991136e-06,9.682944117922319e-01,4.872099661139067e-05,8
44,2.312924913132581e-06,4.306947061751480e-06,9.772406227395115e-01,3.468820118573892e-05,8
45,1.355619827638100e-06,4.035260983477667e-06,9.908634002852911e-01,2.033105330296789e-05,8
46,5.148062565370968e-07,3.872555766466714e-06,1.010434142632068e+00,7.720941077394032e-06,8
47,6.544656181755841e-08,3.807635551466853e-06,1.038597724223582e+00,9.802034671493052e-07,8
48,-6.321467613963517e-08,3.796966622680771e-06,1.056416690592244e+00,-9.509620225723312e-07,8
49,1.090228686835981e-06,3.796966622663502e-06,4.819952083931996e+00,1.634911807652377e-05,9
50,1.670523344415603e-06,3.411542158370633e-06,2.285699433229531e+00,2.504820520929043e-05,9
51,2.085531114226909e-06,3.076604310363396e-06,1.545886627048848e+00,3.125758534023671e-05,9
52,2.347825586430653e-06,2.782083939132597e-06,1.278437860070003e+00,3.520483848899232e-05,9
53,2.473053051428458e-06,2.488120660459010e-06,1.126822744661997e+00,3.709086397052976e-05,9
54,2.464719997999914e-06,2.188308458571906e-06,1.018534589802778e+00,3.696847570744193e-05,9
55,2.338723230626857e-06,1.893292831583084e-06,9.323242134680145e-01,3.507982931293859e-05,9
56,2.116292787460737e-06,1.614904143402463e-06,1.326172106331781e+00,3.174409775687631e-05,9
57,1.828900827065488e-06,1.363900314407744e-06,1.928364294874338e+00,2.743343703399248e-05,9
58,1.520829621239944e-06,1.147601846300127e-06,1.590203175181747e+00,2.281238109480235e-05,9
59,1.221759980903822e-06,9.673957218389568e-07,3.638687011167963e+00,1.832678785443044e-05,9
60,9.422098465834533e-07,8.217101039369320e-07,2.046062123647541e+00,1.413368053993462e-05,9
61,6.824153233636707e-07,7.082183923347481e-07,1.354414613726925e+00,1.023654666586144e-05,9
62,4.444935458160385e-07,6.247184766528295e-07,1.034469644592915e+00,6.667410786650595e-06,9
63,2.329197453694046e-07,5.686858163871153e-07,1.295994441330590e+00,3.493714445378531e-06,9
64,5.242731368281534e-08,5.369675017575243e-07,1.583467993320598e+00,7.864198325947304e-07,9
65,1.443296292572019e-08,5.291809359218715e-07,1.421441690174582e+00,2.164624289725751e-07,9
66,9.453924255604651e-09,5.267917630324520e-07,1.494006293558952e+00,1.418643979989023e-07,9
67,1.232559377177389e-08,5.252499292087363e-07,1.547492534131260e+00,1.849845116690241e-07,9
68,1.445260248594357e-08,5.235122282470497e-07,1.374897145103080e+00,2.168781241010343e-07,9
69,1.560073270715929e-08,5.216285058781003e-07,1.217699419862236e+00,2.340700883119833e-07,9
70,1.601635465969625e-08,5.196888878381181e-07,1.107161242209082e+00,2.402778308155685e-07,9
71,1.576712120178518e-08,5.177540371611297e-07,1.043096541077598e+00,2.365175470842184e-07,9
72,1.500499883864093e-08,5.158806562939347e-07,1.043566612966754e+00,2.250675262771914e-07,9
73,1.393191569295055e-08,5.141150016863482e-07,1.041937829036947e+00,2.089569162668493e-07,9
74,1.272612895128907e-08,5.124856302799799e-07,1.039374598766259e+00,1.908597969779821e-07,9
75,1.150907471895422e-08,5.110035786355502e-07,1.036572616548126e+00,1.725972193622997e-07,9
76,1.034602747474086e-08,5.096674178729869e-07,1.033792677730899e+00,1.551474565654459e-07,9
77,9.264087650905584e-09,5.084690963836224e-07,1.031106933376498e+00,1.389162270565904e-07,9
78,8.270826378562287e-09,5.073980234760840e-07,1.028544612004294e+00,1.240165253913535e-07,9
79,7.365948964197956e-09,5.064431171287335e-07,1.026135704411533e+00,1.104435143935568e-07,9
80,6.546519756512298e-09,5.055935842579019e-07,1.023908417538810e+00,9.815288118967337e-08,9
81,5.808565392589227e-09,5.048391490976677e-07,1.021878810985469e+00,8.708480747873543e-08,9
82,5.147249263433838e-09,5.041701234331391e-07,1.020047177260402e+00,7.716659410388820e-08,9
83,4.556852781258839e-09,5.035774701282962e-07,1.018401414330142e+00,6.831236275894957e-08,9
84,4.031011769581087e-09,5.030528777694061e-07,1.016923046503809e+00,6.042656092806190e-08,9
85,3.563161823724649e-09,5.025888152881315e-07,1.015592393947109e+00,5.341066501440573e-08,9
86,3.146986272972480e-09,5.021785407019555e-07,1.014391558654891e+00,4.716988540422792e-08,9
87,2.776706453365758e-09,5.018160627448918e-07,1.013305417903768e+00,4.161750803496228e-08,9
88,2.447183248179403e-09,5.014960723042537e-07,1.012321414987727e+00,3.667642639336362e-08,9
89,2.153887154716089e-09,5.012138641340260e-07,1.011428911678313e+00,3.227868664989076e-08,9
90,1.892812130411616e-09,5.009652632957998e-07,1.010618583608488e+00,2.836418594701800e-08,9
91,1.660388305375845e-09,5.007465623576141e-07,1.009882043540433e+00,2.487937142750112e-08,9
92,1.453419528720643e-09,5.005544691250484e-07,1.009211679710473e+00,2.177630200901598e-08,9
93,1.269044744644427e-09,5.003860620319653e-07,1.008600617134612e+00,1.901206061766941e-08,9
94,1.104711806636676e-09,5.002387504439942e-07,1.008042714153160e+00,1.654836805132668e-08,9
95,9.581558894065653e-10,5.001102382625033e-07,1.007532542465361e+00,1.435125390810435e-08,9
96,8.273756627735997e-10,4.999984903193090e-07,1.007065336405686e+00,1.239069564695604e-08,9
97,7.106056122908399e-10,4.999017017305608e-07,1.006636921003096e+00,1.064022197342599e-08,9
98,6.062907414559618e-10,4.998182704196270e-07,1.006243632125312e+00,9.076510177329913e-09,9
99,5.130593109345057e-10,4.997467728169459e-07,1.005882244674570e+00,7.678986045097464e-09,9
100,4.296996687202523e-10,4.996859426799699e-07,1.005549913630877e+00,6.429479373071798e-09,9
101,3.551406332520625e-10,4.996346525950819e-07,1.005244128496615e+00,5.311925466356575e-09,9
102,2.884339176034491e-10,4.995918977990950e-07,1.004962679150179e+00,4.312104742442986e-09,9
103,2.287398966263588e-10,4.995567820184728e-07,1.004703627822969e+00,3.417423743790678e-09,9
104,1.753138200109780e-10,4.995285050056655e-07,1.004465286508218e+00,2.616718931915455e-09,9
