iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000031e+00,1.860465116279070e-01,4.988126753466639e-14,1.600000000000000e+01,1
1,2.920639984144661e-14,4.651162790697945e-02,1.608829020944719e+00,-9.500234552373144e-04,1
2,2.427544902789447e-01,4.651162790697945e-02,3.551065162521910e-01,3.877523581560180e+00,2
3,3.274275785119846e-02,1.499458568041080e-02,1.251410541741619e+00,5.237414593953653e-01,2
4,-1.034104278244804e-03,1.120288678465228e-02,1.144535716376625e+00,-1.757977273021438e-02,2
5,5.409983323088995e-02,1.120288678465229e-02,6.641088360604988e-01,8.773886015290029e-01,3
6,2.156539070508105e-02,4.508023836014771e-03,9.502172033162197e-01,3.412179747869928e-01,3
7,7.816513917320661e-04,1.917338506398477e-03,1.367019649664062e+00,1.044111157100508e-02,3
8,8.530741335544299e-03,1.917338506398468e-03,7.999633021242536e-01,1.418542218064205e-01,4
9,3.615201207796833e-03,8.720500143287061e-04,9.290485796599842e-01,5.520233235453041e-02,4
10,1.368261230914542e-04,4.702913964076844e-04,1.354922511583200e+00,-1.448495496260555e-04,4
11,1.885807650661103e-03,4.702913964076830e-04,9.844234521809041e-01,3.058543955053104e-02,5
12,1.106849594335733e-03,2.386249471665946e-04,7.816261515378790e-01,1.687110411179754e-02,5
13,2.591057832426480e-04,1.135932957876251e-04,1.328516384678383e+00,3.947521626846589e-03,5
14,5.666709304663631e-04,1.135932957876241e-04,7.397505301191594e-01,8.334405769804713e-03,6
15,2.354165860931420e-04,5.051149782383481e-05,6.975689107963386e-01,3.752211342064063e-03,6
16,1.740927780868848e-05,2.267868386505345e-05,1.695230999040941e+00,2.540092099465017e-04,6
17,-1.748026610117503e-05,2.025570082402339e-05,1.372313749610938e+00,-3.422459185514568e-04,6
18,8.791323048107793e-05,2.025570082402343e-05,1.177044722519754e+00,1.335803273658509e-03,7
19,4.328454311410497e-05,1.045131079368355e-05,7.147583056313023e-01,7.028971666692748e-04,7
20,7.407986094696567e-06,5.221406693608816e-06,1.120358399366746e+00,1.231154686832937e-04,7
21,2.268936877641751e-05,5.221406693603475e-06,1.002404742501059e+00,3.635392284355206e-04,8
22,1.170239716647569e-05,2.487782627370490e-06,4.829284950958813e-01,1.944154144455784e-04,8
23,1.512048005954802e-06,9.736774044681346e-07,1.617462045590075e+00,2.529015876221549e-05,8
24,4.783529113061357e-06,9.736774044670759e-07,9.162314449708349e-01,7.828692766101382e-05,9
25,1.165818789905466e-06,3.588140717462534e-07,1.059857309549484e+00,1.930816116888082e-05,9
26,-2.470328579735108e-08,2.255642297254960e-07,1.422974470149402e+00,-5.612120452456508e-07,9
27,1.019990646071670e-06,2.255642297252508e-07,5.781991095759924e-01,1.672916311975821e-05,10
28,4.057791682667808e-07,9.989011139939240e-08,8.892716718807878e-01,6.730046367741137e-06,10
29,5.967823467099417e-08,5.039715473812487e-08,1.227494220114302e+00,9.943334408633152e-07,10
30,2.212842166560931e-07,5.039715473830999e-08,6.589030783686572e-01,3.677900164352427e-06,11
31,7.953911519045085e-08,2.259537604609666e-08,1.053607188318427e+00,1.326610735968766e-06,11
32,-1.279654172483269e-09,1.277241758823413e-08,1.531736255078585e+00,-2.605232376256514e-08,11
33,4.680894422218449e-08,1.277241758816033e-08,8.883845626561807e-01,7.855988738923168e-07,12
34,1.600989520949549e-08,6.920487812659469e-09,1.079938380481035e+00,2.700447862725107e-07,12
35,-3.183012220958240e-09,4.907644796483942e-09,1.210855730100559e+00,-5.491899723445573e-08,12
36,1.056180747289616e-08,4.907644796698911e-09,1.605091479543874e+00,1.781497369475410e-07,13
37,7.831876111988483e-09,3.398819790936660e-09,9.726034042518732e-01,1.324972118331822e-07,13
38,3.027438439947826e-09,2.425925434524919e-09,1.002569256549217e+00,5.125711811762392e-08,13
39,6.246737303466307e-09,2.425925434540896e-09,2.046975408138607e+00,1.062542273302235e-07,14
40,5.112412634528689e-09,1.660782059850093e-09,9.036726282047816e-01,8.686676144494217e-08,14
41,2.931392664999386e-09,1.060150134406001e-09,9.331652144814486e-01,4.977578575873076e-08,14
42,4.841412373158402e-09,1.060150134441157e-09,6.444694855775721e-01,8.214921123045515e-08,15
43,1.662447205084464e-09,4.316063502650070e-10,8.138182476045702e-01,2.821185814708260e-08,15
44,-1.755240938472410e-10,2.218130796650407e-10,1.459097922710261e+00,-3.003953667930931e-09,15
45,8.771523219062673e-10,2.218130796565567e-10,1.126665829311568e+00,1.490862761276175e-08,16
46,4.804019999697309e-10,1.125881951798977e-10,8.241570709959908e-01,8.165224064315762e-09,16
