iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000031e+00,1.860465116279070e-01,4.988126753466639e-14,1.600000000000000e+01,1
1,2.920639984144661e-14,4.651162790697945e-02,1.608829020944719e+00,-9.500234552373144e-04,1
2,-1.094901597271244e-03,4.491083913306117e-02,1.176134696968372e+00,-1.861332715356045e-02,1
3,-1.202892573684535e-03,4.460273260663773e-02,1.117821593307739e+00,-2.044917375258493e-02,1
4,-1.324378399601717e-03,4.452644363299830e-02,1.083181039411506e+00,-2.251443279318188e-02,1
5,-1.468622268601604e-03,4.447403954446259e-02,1.052290160112699e+00,-2.496657856618034e-02,1
6,-1.595055383112692e-03,4.449158801230146e-02,1.030014499465627e+00,-2.711594151286523e-02,1
7,-1.649137561791156e-03,4.459308880228870e-02,1.027358555377406e+00,-2.803533855040152e-02,1
8,-1.655488118450925e-03,4.474548339932263e-02,1.026807314461408e+00,-2.814329801361692e-02,1
9,-1.668569402233190e-03,4.489893840497237e-02,1.028012636103554e+00,-2.836567983791394e-02,1
10,-1.689124507787541e-03,4.505401216067889e-02,1.028838909491495e+00,-2.871511663234072e-02,1
11,-1.714705188415623e-03,4.521137387799268e-02,1.028596900149447e+00,-2.914998820301706e-02,1
12,-1.743846124757938e-03,4.537145710266936e-02,1.027719654384867e+00,-2.964538412083684e-02,1
13,-1.775761388980383e-03,4.553455729023523e-02,1.026545449519485e+00,-3.018794361262156e-02,1
14,-1.809993843197023e-03,4.570090347962633e-02,1.025288856680161e+00,-3.076989533430297e-02,1
15,-1.846245146732142e-03,4.587069237503277e-02,1.024070369318355e+00,-3.138616749440226e-02,1
16,-1.884301100888718e-03,4.604410267361939e-02,1.022947816766081e+00,-3.203311871506420e-02,1
17,-1.923998512263687e-03,4.622130063733734e-02,1.021995564966688e+00,-3.270797470843601e-02,1
18,-1.965209343743108e-03,4.640244229322504e-02,1.021430429925132e+00,-3.340855884358884e-02,1
19,-2.007831902049430e-03,4.658767460879472e-02,1.020891672739298e+00,-3.413314233479259e-02,1
20,-2.051784862409000e-03,4.677713649358321e-02,1.020390048240629e+00,-3.488034266090878e-02,1
21,-2.097002503107169e-03,4.697095981543843e-02,1.019934976432754e+00,-3.564904255277668e-02,1
22,-2.143430591055532e-03,4.716927038098428e-02,1.019533594287823e+00,-3.643832004789793e-02,1
23,-2.182271643792536e-03,4.737447263138209e-02,1.319141715396517e+00,-3.709861794442748e-02,1
24,-2.213946498649500e-03,4.758469069364763e-02,1.306310490122934e+00,-3.763709047699582e-02,1
25,-2.245528599997619e-03,4.779837988627636e-02,1.063328182085223e+00,-3.817398619991419e-02,1
26,-2.279242479485890e-03,4.801532877279082e-02,1.018382120493835e+00,-3.874712215121345e-02,1
27,-2.314262463383061e-03,4.823570570260352e-02,1.018384983023387e+00,-3.934246187746737e-02,1
28,-2.349515962175710e-03,4.845962610279536e-02,1.018390862932843e+00,-3.994177135694343e-02,1
29,-2.384642343545069e-03,4.868709677782375e-02,1.018392255104191e+00,-4.053891984022329e-02,1
30,-2.419732332857693e-03,4.891809131330923e-02,1.018385504619785e+00,-4.113544965853499e-02,1
31,-2.454929930378139e-03,4.915259689678795e-02,1.018370367472578e+00,-4.173380881638344e-02,1
32,-2.490298084417825e-03,4.939061773539384e-02,1.018347331317690e+00,-4.233506743505444e-02,1
33,-2.516494632349130e-03,4.963376491504347e-02,1.842618187289871e+00,-4.278040874989131e-02,1
34,-2.535587395821115e-03,4.988027635763116e-02,1.616187925730709e+00,-4.310498572891586e-02,1
35,-2.552267588019470e-03,5.012905637028455e-02,1.239632634934084e+00,-4.338854899628686e-02,1
36,-2.569872792391650e-03,5.037966375671050e-02,1.013707945024027e+00,-4.368783747061045e-02,1
37,-2.589436862011894e-03,5.063209489702622e-02,1.013005849852179e+00,-4.402042665415173e-02,1
38,-2.610458942668359e-03,5.088650419969942e-02,1.012818522719076e+00,-4.437780202531805e-02,1
39,-2.632020776053516e-03,5.114301713547442e-02,1.012614717872961e+00,-4.474435319286485e-02,1
40,-2.653492937972135e-03,5.140167658176623e-02,1.014226446740233e+00,-4.510937994548136e-02,1
41,-2.674703963292056e-03,5.166246821774688e-02,1.033212110540484e+00,-4.546996737591957e-02,1
42,-2.695781251890072e-03,5.192536353522430e-02,1.029985154840705e+00,-4.582828128208671e-02,1
43,-2.716925063486668e-03,5.219034779348184e-02,1.018587769875400e+00,-4.618772607922672e-02,1
44,-2.738268811405146e-03,5.245742660574094e-02,1.011899046101815e+00,-4.655056979383954e-02,1
45,-2.759850103431858e-03,5.272661910220280e-02,1.011773355710710e+00,-4.691745175828821e-02,1
46,-2.781646411137787e-03,5.299794830335890e-02,1.011647205510085e+00,-4.728798898929387e-02,1
47,-2.803621575759952e-03,5.327143508945224e-02,1.011522765513954e+00,-4.766156678787059e-02,1
48,-2.825753465963303e-03,5.354709682644078e-02,1.011401288424343e+00,-4.803780892132625e-02,1
49,-2.848039034583250e-03,5.382494874380761e-02,1.011282887457680e+00,-4.841666358786600e-02,1
50,-2.870486606862011e-03,5.410500581213841e-02,1.011167053847793e+00,-4.879827231660272e-02,1
51,-2.893106353200673e-03,5.438728385845921e-02,1.011053230231363e+00,-4.918280800436126e-02,1
52,-2.915904819623314e-03,5.467179974124629e-02,1.010941103530208e+00,-4.957038193354624e-02,1
53,-2.938884100007377e-03,5.495857098637254e-02,1.010830614248620e+00,-4.996102970007410e-02,1
54,-2.962043547875872e-03,5.524761534296996e-02,1.010721830165972e+00,-5.035474031384179e-02,1
55,-2.985381782112334e-03,5.553895051003188e-02,1.010614823062143e+00,-5.075149029585990e-02,1
56,-3.008897818308043e-03,5.583259406218135e-02,1.010509610459061e+00,-5.115126291118699e-02,1
57,-3.032591238795734e-03,5.612856348761159e-02,1.010406157091333e+00,-5.155405105947874e-02,1
58,-3.056461848383680e-03,5.642687624292016e-02,1.010304402849888e+00,-5.195985142247306e-02,1
59,-3.080509277966973e-03,5.672754977397034e-02,1.010204288425275e+00,-5.236865772539101e-02,1
60,-3.104732770719632e-03,5.703060149767622e-02,1.010105766788099e+00,-5.278045710218215e-02,1
61,-3.129131163548291e-03,5.733604876279805e-02,1.010008802435382e+00,-5.319522978027003e-02,1
62,-3.153702969516623e-03,5.764390880905102e-02,1.009913365577328e+00,-5.361295048173087e-02,1
63,-3.178446466381123e-03,5.795419873448013e-02,1.009819427107309e+00,-5.403358992842655e-02,1
64,-3.203359744379260e-03,5.826693547166980e-02,1.009726956577849e+00,-5.445711565439382e-02,1
65,-3.228440712135270e-03,5.858213576873170e-02,1.009635922620357e+00,-5.488349210624399e-02,1
66,-3.253687081057177e-03,5.889981617091661e-02,1.009546294278815e+00,-5.531268037792003e-02,1
67,-3.279096348177784e-03,5.921999300071725e-02,1.009458042082527e+00,-5.574463791896633e-02,1
68,-3.304665787179507e-03,5.954268233630709e-02,1.009371138454638e+00,-5.617931838199830e-02,1
69,-3.330392447818865e-03,5.986789998912238e-02,1.009285557614634e+00,-5.661667161286843e-02,1
70,-3.356273159560568e-03,6.019566148141560e-02,1.009201275309845e+00,-5.705664371247199e-02,1
71,-3.382304535378308e-03,6.052598202419267e-02,1.009118268621183e+00,-5.749917710137975e-02,1
72,-3.408482973824760e-03,6.085887649554809e-02,1.009036515923356e+00,-5.794421055496635e-02,1
73,-3.434804659442894e-03,6.119435941922368e-02,1.008955996964890e+00,-5.839167921047217e-02,1
74,-3.461265562482247e-03,6.153244494322602e-02,1.008876692999982e+00,-5.884151456214060e-02,1
75,-3.487861438829917e-03,6.187314681843197e-02,1.008798586924545e+00,-5.929364446005536e-02,1
76,-3.514587830604873e-03,6.221647837720343e-02,1.008721663403040e+00,-5.974799312022672e-02,1
77,-3.541440067447894e-03,6.256245251207529e-02,1.008645908995110e+00,-6.020448114655519e-02,1
78,-3.568413268352496e-03,6.291108165458557e-02,1.008571312296201e+00,-6.066302556193648e-02,1
79,-3.595502343893262e-03,6.326237775429989e-02,1.008497864100278e+00,-6.112353984612895e-02,1
80,-3.622701998803206e-03,6.361635225806912e-02,1.008425557583461e+00,-6.158593397959855e-02,1
81,-3.650006734936203e-03,6.397301608955415e-02,1.008354388500191e+00,-6.205011449386166e-02,1
82,-3.677410854686020e-03,6.433237962905514e-02,1.008284355379099e+00,-6.251598452960128e-02,1
83,-3.704908464927265e-03,6.469445269369026e-02,1.008215459703162e+00,-6.298344390370580e-02,1
84,-3.732493481519696e-03,6.505924451797494e-02,1.008147706056592e+00,-6.345238918577234e-02,1
85,-3.760159634396003e-03,6.542676373485630e-02,1.008081102220020e+00,-6.392271378467562e-02,1
86,-3.787900473241680e-03,6.579701835726122e-02,1.008015659197400e+00,-6.439430804504820e-02,1
87,-3.815709373773208e-03,6.617001576021454e-02,1.007951391166759e+00,-6.486705935408743e-02,1
88,-3.843579544621636e-03,6.654576266358808e-02,1.007888315366049e+00,-6.534085225850728e-02,1
89,-3.871504034828798e-03,6.692426511553767e-02,1.007826451958983e+00,-6.581556859202742e-02,1
90,-3.899475741961335e-03,6.730552847669059e-02,1.007765823973757e+00,-6.629108761327984e-02,1
91,-3.927487420843533e-03,6.768955740514201e-02,1.007706457466383e+00,-6.676728615427763e-02,1
92,-3.955531692905159e-03,6.807635584232276e-02,1.007648382117822e+00,-6.724403877932517e-02,1
93,-3.983601056135355e-03,6.846592699979796e-02,1.007591632513749e+00,-6.772121795424013e-02,1
94,-4.011687895629236e-03,6.885827334705641e-02,1.007536250357825e+00,-6.819869422563762e-02,1
95,-4.039784494709634e-03,6.925339660034829e-02,1.007482287817428e+00,-6.867633641000381e-02,1
96,-4.067883046602337e-03,6.965129771262860e-02,1.007429812079951e+00,-6.915401179217628e-02,1
97,-4.095975666638880e-03,7.005197686465971e-02,1.007378910984221e+00,-6.963158633279498e-02,1
98,-4.124054404956978e-03,7.045543345732506e-02,1.007329699231981e+00,-7.010892488419795e-02,1
99,-4.152111259664078e-03,7.086166610520304e-02,1.007282324082291e+00,-7.058589141422100e-02,1
100,-4.180138190425535e-03,7.127067263144569e-02,1.007236968483322e+00,-7.106234923716404e-02,1
101,-4.208127132434502e-03,7.168245006400455e-02,1.007193848346372e+00,-7.153816125132018e-02,1
102,-4.236070010716829e-03,7.209699463324025e-02,1.007153199658616e+00,-7.201319018212171e-02,1
103,-4.263958754720350e-03,7.251430177094891e-02,1.007115251790257e+00,-7.248729883018168e-02,1
104,-4.291785313134373e-03,7.293436611083277e-02,1.007080187650233e+00,-7.296035032321324e-02,1
105,-4.319541668881897e-03,7.335718149043773e-02,1.007048099562030e+00,-7.343220837092268e-02,1
106,-4.347219854224111e-03,7.378274095457342e-02,1.007018957267874e+00,-7.390273752174448e-02,1
107,-4.374811965913859e-03,7.421103676022772e-02,1.006994405901683e+00,-7.437180342046457e-02,1
108,-4.402310180332774e-03,7.464206038297876e-02,1.007012391886101e+00,-7.483927306558513e-02,1
109,-4.429706768544672e-03,7.507580252490341e-02,1.007066995878506e+00,-7.530501506519460e-02,1
110,-4.456994111196618e-03,7.551225312397285e-02,1.007123847524991e+00,-7.576889989027080e-02,1
111,-4.484164713198301e-03,7.595140136491926e-02,1.007183096512709e+00,-7.623080012429906e-02,1
112,-3.441930086519942e-03,7.639323569155242e-02,1.033644984189046e+00,-5.958644800422608e-02,1
113,-2.642185366421022e-03,7.673840701977591e-02,1.097245852990541e+00,-4.682919384042172e-02,1
114,-2.439268967027914e-03,7.700944931865199e-02,1.037614282432066e+00,-4.362951442113250e-02,1
115,-2.470659781110302e-03,7.726190763924802e-02,1.021563514983031e+00,-4.418542778507017e-02,1
116,-2.548629775579207e-03,7.751761061902238e-02,1.004898849660037e+00,-4.549120861904310e-02,1
117,-2.353771097256694e-03,7.778116511679961e-02,1.128382044783773e+00,-4.243155978630586e-02,1
118,-1.781735497682813e-03,7.802716073228212e-02,1.305935214638569e+00,-3.333119629293702e-02,1
119,-1.450182731599343e-03,7.822031872227247e-02,1.160337956067725e+00,-2.807872726215166e-02,1
120,-1.356554109497489e-03,7.838297814459218e-02,1.054166706135059e+00,-2.663633276024413e-02,1
121,-1.390931428732484e-03,7.853727755153433e-02,1.012001665942438e+00,-2.724547144902267e-02,1
122,-1.473674530217894e-03,7.869513855696902e-02,1.003736837768104e+00,-2.863061633302877e-02,1
123,-1.550743316204324e-03,7.886107040258206e-02,1.003797268813186e+00,-2.992520618656336e-02,1
124,-1.589890294338406e-03,7.903454603084942e-02,1.003870757407641e+00,-3.061144878016897e-02,1
125,-1.583285663781960e-03,7.921202889520679e-02,1.003924368725375e+00,-3.056294999070364e-02,1
126,-1.543335741975294e-03,7.938924787693150e-02,1.004647093263766e+00,-2.997803215938344e-02,1
127,-1.490945031685732e-03,7.956308470216658e-02,1.008013924107585e+00,-2.919166918529825e-02,1
128,-1.443557092638571e-03,7.973236819900711e-02,1.008026021724804e+00,-2.848362849228359e-02,1
129,-1.409043536127979e-03,7.989755335977157e-02,1.006090148313473e+00,-2.798025318950614e-02,1
130,-1.386258349903637e-03,8.005982953396298e-02,1.003912770820488e+00,-2.766315982311607e-02,1
131,-1.369333358632676e-03,8.022027920238836e-02,1.003498858742370e+00,-2.743806365378809e-02,1
132,-1.352211195387699e-03,8.037943680434644e-02,1.003438686050034e+00,-2.720753732648795e-02,1
133,-1.331324777058467e-03,8.053727046941164e-02,1.003382020555637e+00,-2.691409294019209e-02,1
134,-1.306069664587380e-03,8.069341415973928e-02,1.003321761589667e+00,-2.654784054506809e-02,1
135,-1.277820950948414e-03,8.084744432788345e-02,1.003254756270830e+00,-2.613074309409491e-02,1
136,-1.248536734800031e-03,8.099906505980495e-02,1.003333361486508e+00,-2.569418907319587e-02,1
137,-1.219714852238461e-03,8.114816286280671e-02,1.003245438642896e+00,-2.526221047074984e-02,1
138,-1.191992019911552e-03,8.129476391096721e-02,1.003027519463324e+00,-2.484501445800369e-02,1
139,-1.165279969174004e-03,8.143895369435614e-02,1.002951255856141e+00,-2.444115334695063e-02,1
140,-1.139150815013793e-03,8.158080927983392e-02,1.002876603845244e+00,-2.404371538961136e-02,1
141,-1.113200698860567e-03,8.172036755350832e-02,1.002803227088937e+00,-2.364617784627399e-02,1
142,-1.087245587579310e-03,8.185762748211169e-02,1.002730541089739e+00,-2.324556528177624e-02,1
143,-1.061337326687552e-03,8.199257073106588e-02,1.002658150165864e+00,-2.284271463369691e-02,1
