iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000031e+00,1.860465116279070e-01,4.988126753466639e-14,1.600000000000000e+01,1
1,2.920639984144661e-14,4.651162790697945e-02,1.608829020944719e+00,-9.500234552373144e-04,1
2,2.427544902789447e-01,4.651162790697945e-02,3.551065162521910e-01,3.877523581560180e+00,2
3,3.274275785119846e-02,1.499458568041080e-02,1.251410541741619e+00,5.237414593953653e-01,2
4,-1.034104278244804e-03,1.120288678465228e-02,1.144535716376625e+00,-1.757977273021438e-02,2
5,5.409983323088995e-02,1.120288678465229e-02,6.641088360604988e-01,8.773886015290029e-01,3
6,2.156539070508105e-02,4.508023836014771e-03,9.502172033162197e-01,3.412179747869928e-01,3
7,7.816513917320661e-04,1.917338506398477e-03,1.367019649664062e+00,1.044111157100508e-02,3
8,8.530741335544299e-03,1.917338506398468e-03,7.999633021242536e-01,1.418542218064205e-01,4
9,3.615201207796833e-03,8.720500143287061e-04,9.290485796599842e-01,5.520233235453041e-02,4
10,1.368261230914542e-04,4.702913964076844e-04,1.354922511583200e+00,-1.448495496260555e-04,4
11,1.885807650661103e-03,4.702913964076830e-04,9.844234521809041e-01,3.058543955053104e-02,5
12,1.106849594335733e-03,2.386249471665946e-04,7.816261515378790e-01,1.687110411179754e-02,5
13,2.591057832426480e-04,1.135932957876251e-04,1.328516384678383e+00,3.947521626846589e-03,5
14,5.666709304663631e-04,1.135932957876241e-04,7.397505301191594e-01,8.334405769804713e-03,6
15,2.354165860931420e-04,5.051149782383481e-05,6.975689107963386e-01,3.752211342064063e-03,6
16,1.740927780868848e-05,2.267868386505345e-05,1.695230999040941e+00,2.540092099465017e-04,6
17,1.110437316381739e-04,2.267868386505126e-05,7.071669809570775e-01,1.711802554620873e-03,7
18,2.194459527339651e-05,9.701196383485121e-06,1.288130498482596e+00,3.400328213939656e-04,7
19,-3.695744000642647e-06,7.308334484752023e-06,1.446835332090833e+00,-7.753691301954572e-05,7
20,2.903950269583874e-05,7.308334484750919e-06,1.041442571800936e+00,4.513718446805404e-04,8
21,1.539050755521444e-05,4.013475113050233e-06,7.578053245937922e-01,2.537099664533092e-04,8
22,4.041966342097282e-06,2.185650814651539e-06,9.779856772521464e-01,6.811789002361831e-05,8
23,9.249106234715063e-06,2.185650814648562e-06,1.029916667027176e+00,1.497565556909304e-04,9
24,4.482881174593608e-06,1.054977950859669e-06,6.563896861623902e-01,7.450871279813975e-05,9
25,7.378398490269957e-07,4.976911926686825e-07,1.356505589642950e+00,1.245026050542968e-05,9
26,2.199643651472681e-06,4.976911926649544e-07,9.361848261192257e-01,3.643898691468352e-05,10
27,9.142799839710093e-07,2.205240979170138e-07,1.068283259999869e+00,1.529056895134776e-05,10
28,8.952559925596803e-08,1.036270844282498e-07,1.497429822119029e+00,1.498030166332558e-06,10
29,4.473842931252971e-07,1.036270844287403e-07,7.460043917391108e-01,7.486990160483338e-06,11
30,1.333650304183448e-07,4.662963647342983e-08,1.024942570240830e+00,2.236506389535302e-06,11
31,4.081104007479912e-10,3.039523678951550e-08,1.395989698212435e+00,4.875021143630178e-09,11
32,-1.726009249970138e-08,2.979874310692226e-08,1.225601625954020e+00,-2.946402076349740e-07,11
33,-1.686562394451402e-08,3.127360918289886e-08,1.187461560471307e+00,-2.879976197528551e-07,11
34,-1.505359804687878e-08,3.282484842375405e-08,1.158952818356513e+00,-2.572148583623367e-07,11
35,-1.397533046245725e-08,3.424287304825541e-08,1.138244016194590e+00,-2.388509087902544e-07,11
36,-1.350324032122089e-08,3.557363030675404e-08,1.121740258346906e+00,-2.307616105154579e-07,11
37,-1.330987923637885e-08,3.686730815981406e-08,1.107816709312539e+00,-2.273951297009250e-07,11
38,-1.317833396420292e-08,3.814782454939312e-08,1.095801661760371e+00,-2.250736266189554e-07,11
39,-1.300313675779789e-08,3.941981764077914e-08,1.085382504451548e+00,-2.220106447594826e-07,11
40,-1.274982727101396e-08,4.067825218319655e-08,1.076363155455837e+00,-2.176244082116836e-07,11
41,-1.242154537922274e-08,4.191493642404626e-08,1.068579867995078e+00,-2.119704680290963e-07,11
42,-1.203751425811245e-08,4.312206874754775e-08,1.061878762093491e+00,-2.053764582457333e-07,11
43,-1.162079029570914e-08,4.429377910422257e-08,1.056113889099384e+00,-1.982343125893897e-07,11
44,-1.119216131735645e-08,4.542650124621789e-08,1.051150171762772e+00,-1.908968961710455e-07,11
45,-1.076775792900342e-08,4.651875285395431e-08,1.046866126254059e+00,-1.836376630815974e-07,11
46,-1.035870179704301e-08,4.757067972446337e-08,1.043155196699766e+00,-1.766448399806294e-07,11
47,-9.971724278949095e-09,4.858356235602973e-08,1.040333793605192e+00,-1.700320454207985e-07,11
48,-9.610132775411483e-09,4.955938094282857e-08,1.038055872809750e+00,-1.638547701851863e-07,11
49,-9.274793307902017e-09,5.050047404655994e-08,1.036002314174873e+00,-1.581271007739059e-07,11
50,-8.964976832891370e-09,5.140929346994797e-08,1.034150617756801e+00,-1.528361112282956e-07,11
51,-8.679020544709863e-09,5.228824257174052e-08,1.032477729410466e+00,-1.479530927987044e-07,11
52,-8.414805910261636e-09,5.313958011785464e-08,1.030961670226794e+00,-1.434416717795696e-07,11
53,-8.170080992591040e-09,5.396537181746701e-08,1.029582419766387e+00,-1.392632781579425e-07,11
54,-7.942662081462529e-09,5.476747422450971e-08,1.028322294768955e+00,-1.353805514388027e-07,11
55,-7.730543802800245e-09,5.554753900195128e-08,1.027165994820882e+00,-1.317592148208171e-07,11
56,-7.531950483628537e-09,5.630702859124770e-08,1.026100467425272e+00,-1.283689255075474e-07,11
57,-7.345345691517242e-09,5.704723725968394e-08,1.025114667584784e+00,-1.251834385636703e-07,11
58,-7.169419703450156e-09,5.776931346202848e-08,1.024199285518841e+00,-1.221803838112763e-07,11
59,-7.003065035273056e-09,5.847428119744451e-08,1.023346475828014e+00,-1.193408414893183e-07,11
60,-6.845345744582763e-09,5.916305913276824e-08,1.022549602634857e+00,-1.166488288828747e-07,11
61,-6.695469796473631e-09,5.983647692682553e-08,1.021803026738670e+00,-1.140908125886519e-07,11
62,-6.552761244686966e-09,6.049528886340539e-08,1.021101917751049e+00,-1.116552454629216e-07,11
63,-6.416638332534550e-09,6.114018490700104e-08,1.020442106374172e+00,-1.093321848586684e-07,11
64,-6.286594350636594e-09,6.177179962809333e-08,1.019819961949527e+00,-1.071129711132762e-07,11
65,-6.162182500096288e-09,6.239071933011077e-08,1.019232295571988e+00,-1.049899722917744e-07,11
66,-6.043005844099878e-09,6.299748774847995e-08,1.018676289249022e+00,-1.029564007494979e-07,11
67,-5.928707429240313e-09,6.359261072709499e-08,1.018149433094485e+00,-1.010061554314743e-07,11
68,-5.818963933653597e-09,6.417656001459768e-08,1.017649479582503e+00,-9.913371166064126e-08,11
69,-5.713481213405517e-09,6.474977644900135e-08,1.017174408187966e+00,-9.733404111895565e-08,11
70,-5.611990181684519e-09,6.531267270087430e-08,1.016722394695295e+00,-9.560254511010306e-08,11
71,-5.514244004025029e-09,6.586563564860746e-08,1.016291787358400e+00,-9.393500576298345e-08,11
72,-5.420015831337340e-09,6.640902848656113e-08,1.015881087007416e+00,-9.232754699687448e-08,11
73,-5.329097114092260e-09,6.694319262024284e-08,1.015488930760582e+00,-9.077660384966890e-08,11
74,-5.241295613932514e-09,6.746844939493679e-08,1.015114076471553e+00,-8.927889153557037e-08,11
75,-5.156433875716810e-09,6.798510165471472e-08,1.014755389774228e+00,-8.783137976688059e-08,11
76,-5.074348555309350e-09,6.849343516084762e-08,1.014411834800644e+00,-8.643127617786007e-08,11
77,-4.994888535642515e-09,6.899371992102091e-08,1.014082462304761e+00,-8.507599981488223e-08,11
78,-4.917914438788232e-09,6.948621137115336e-08,1.013766402595490e+00,-8.376316767180539e-08,11
79,-4.843296681902379e-09,6.997115148423364e-08,1.013462855117239e+00,-8.249056910150381e-08,11
80,-4.770915996491115e-09,7.044876973557708e-08,1.013171085523425e+00,-8.125616293213813e-08,11
81,-4.700660747729386e-09,7.091928405492585e-08,1.012890414298591e+00,-8.005804634083330e-08,11
82,-4.632428321286168e-09,7.138290160195352e-08,1.012620217257501e+00,-7.889446131219636e-08,11
83,-4.566122052920765e-09,7.183981958165995e-08,1.012359914009079e+00,-7.776376101462282e-08,11
84,-4.501652643765021e-09,7.229022586796863e-08,1.012108969197129e+00,-7.666441760969308e-08,11
85,-4.438936455255156e-09,7.273429967438736e-08,1.011866885480202e+00,-7.559500244585193e-08,11
86,-4.377895149779123e-09,7.317221211209041e-08,1.011633200385093e+00,-7.455417822449391e-08,11
87,-4.318455489066873e-09,7.360412670428154e-08,1.011407483939576e+00,-7.354069391267751e-08,11
88,-4.260548874201115e-09,7.403019987254597e-08,1.011189335681231e+00,-7.255337715122473e-08,11
89,-4.204110729170633e-09,7.445058138056548e-08,1.010978381568748e+00,-7.159112569621807e-08,11
90,-4.149080680139166e-09,7.486541472945658e-08,1.010774273004567e+00,-7.065290653544687e-08,11
91,-4.095401525082990e-09,7.527483754897061e-08,1.010576682960274e+00,-6.973774384271282e-08,11
92,-4.043019364918731e-09,7.567898191992833e-08,1.010385305176349e+00,-6.884471801376840e-08,11
93,-3.991883513143312e-09,7.607797469183699e-08,1.010199852940988e+00,-6.797296321792580e-08,11
94,-3.941946345608148e-09,7.647193778705167e-08,1.010020057765912e+00,-6.712166430291294e-08,11
95,-3.893162438982280e-09,7.686098848766854e-08,1.009845666357708e+00,-6.629004682160862e-08,11
96,-3.845489042976099e-09,7.724523966529390e-08,1.009676441059761e+00,-6.547738020965606e-08,11
97,-3.798885537591178e-09,7.762480002968339e-08,1.009512157826656e+00,-6.468297141411414e-08,11
98,-3.753313601660199e-09,7.799977434098537e-08,1.009352605968347e+00,-6.390616524365046e-08,11
99,-3.708736541542266e-09,7.837026362441865e-08,1.009197585930252e+00,-6.314633677029666e-08,11
100,-3.665120221791263e-09,7.873636534135810e-08,1.009046911101249e+00,-6.240289982778165e-08,11
101,-3.622431470724087e-09,7.909817360993157e-08,1.008900403313337e+00,-6.167528991395301e-08,11
102,-3.580638977571175e-09,7.945577932698765e-08,1.008757894713927e+00,-6.096297259445605e-08,11
103,-3.539712930637466e-09,7.980927033895419e-08,1.008619226393179e+00,-6.026543898410349e-08,11
104,-3.499624958064813e-09,8.015873158680735e-08,1.008484247903007e+00,-5.958220466465199e-08,11
105,-3.460348384418203e-09,8.050424524500602e-08,1.008352817545527e+00,-5.891281171699091e-08,11
106,-3.421856863303919e-09,8.084589087240430e-08,1.008224798733726e+00,-5.825681409577505e-08,11
107,-3.384126269420752e-09,8.118374547868114e-08,1.008100064248034e+00,-5.761379634416108e-08,11
108,-3.347132610749701e-09,8.151788369928704e-08,1.007978491001030e+00,-5.698335200137157e-08,11
109,-3.310853865721101e-09,8.184837784554627e-08,1.007859964132878e+00,-5.636510190497967e-08,11
110,-3.275268016657987e-09,8.217529806087073e-08,1.007744372129600e+00,-5.575867342619296e-08,11
111,-3.240354846865482e-09,8.249871235687449e-08,1.007631610860399e+00,-5.516371882914341e-08,11
112,-3.206094452056046e-09,8.281868675592270e-08,1.007521579884622e+00,-5.457989950300830e-08,11
113,-3.172467777660476e-09,8.313528534248900e-08,1.007414183496425e+00,-5.400689101548328e-08,11
114,-3.139457094059589e-09,8.344857034387208e-08,1.007309331706058e+00,-5.344438806781586e-08,11
115,-3.107044587297912e-09,8.375860223972142e-08,1.007206936753309e+00,-5.289208921560329e-08,11
116,-3.075213821877490e-09,8.406543978314445e-08,1.007106916409554e+00,-5.234971211335188e-08,11
117,-3.043948725414088e-09,8.436914011019875e-08,1.007009191434438e+00,-5.181698253702149e-08,11
118,-3.013233614922143e-09,8.466975878587730e-08,1.006913685547032e+00,-5.129363437553654e-08,11
119,-2.983053960163519e-09,8.496734985010477e-08,1.006820327070119e+00,-5.077941762654920e-08,11
120,-2.953395149512096e-09,8.526196591012967e-08,1.006729045955880e+00,-5.027408505343008e-08,11
121,-2.924243816423902e-09,8.555365815566988e-08,1.006639776734808e+00,-4.977740618368876e-08,11
122,-2.895586629781877e-09,8.584247645522240e-08,1.006552455641711e+00,-4.928915410885468e-08,11
123,-2.867410615318981e-09,8.612846937594192e-08,1.006467021290743e+00,-4.880910879893404e-08,11
124,-2.839703665644508e-09,8.641168422276453e-08,1.006383415707199e+00,-4.833706246398687e-08,11
125,-2.812453925101744e-09,8.669216710865329e-08,1.006301582887337e+00,-4.787281280644742e-08,11
126,-2.785650000426077e-09,8.696996298578401e-08,1.006221469196113e+00,-4.741616526382604e-08,11
127,-2.759280801150105e-09,8.724511568976575e-08,1.006143022883288e+00,-4.696693081751452e-08,11
128,-2.733335860761615e-09,8.751766797119657e-08,1.006066194839774e+00,-4.652492983235176e-08,11
129,-2.707804424280680e-09,8.778766154951006e-08,1.005990936383766e+00,-4.608998148524595e-08,11
130,-2.682676855379673e-09,8.805513710557343e-08,1.005917202457791e+00,-4.566191956336572e-08,11
131,-2.657943629477647e-09,8.832013436589359e-08,1.005844949203468e+00,-4.524058103071483e-08,11
132,-2.633595336594923e-09,8.858269212058312e-08,1.005774134030069e+00,-4.482580607107686e-08,11
133,-2.609623217024585e-09,8.884284824159037e-08,1.005704716681199e+00,-4.441744390662236e-08,11
134,-2.586018262888694e-09,8.910063973469065e-08,1.005636657230083e+00,-4.401534263379652e-08,11
135,-2.562772298782193e-09,8.935610273257085e-08,1.005569918426343e+00,-4.361936132525062e-08,11
136,-2.539876820757034e-09,8.960927255809920e-08,1.005504463095060e+00,-4.322935693830757e-08,11
137,-2.517324408156000e-09,8.986018371171184e-08,1.005440257160114e+00,-4.284520006628403e-08,11
138,-2.495106955127997e-09,9.010886995015195e-08,1.005377265809012e+00,-4.246675507811403e-08,11
139,-2.473217394740269e-09,9.035536425006378e-08,1.005315457168407e+00,-4.209389946856252e-08,11
140,-2.451648416058135e-09,9.059969888380848e-08,1.005254799476681e+00,-4.172650914425678e-08,11
141,-2.430392988695126e-09,9.084190540997506e-08,1.005195262226251e+00,-4.136446455825315e-08,11
142,-2.409444742885500e-09,9.108201469947553e-08,1.005136816929139e+00,-4.100765482304088e-08,11
143,-2.388796391281763e-09,9.132005698551203e-08,1.005079433704436e+00,-4.065595970377882e-08,11
144,-2.368442133524243e-09,9.155606180912179e-08,1.005023086397925e+00,-4.030927699081726e-08,11
