iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000000e+00,5.200000000000000e-01,4.440892098500626e-16,1.300000000000000e+01,1
1,2.844744004325264e-16,1.300000000000000e-01,1.794115083304693e+00,-2.499889223661542e-01,1
2,2.353578270824422e-01,1.300000000000000e-01,4.058514844539665e-01,3.045324964509488e+00,2
3,1.279746553714772e-02,4.998624776789361e-02,1.596556263110044e+00,1.126672249554339e-01,2
4,-2.394294019593212e-02,4.571512354765397e-02,1.268265138578316e+00,-3.457002377961240e-01,2
5,7.022197385484477e-02,4.571512354765399e-02,5.530195432603109e-01,9.636313262636722e-01,3
6,3.332672537667909e-02,2.190862686715419e-02,7.384809322302384e-01,4.623470448001508e-01,3
7,4.302605879273049e-03,9.711854277358066e-03,1.179546740952873e+00,5.814452348395147e-02,3
8,1.589535333786723e-02,9.711854277358073e-03,4.805931313721228e-01,2.185379389503147e-01,4
9,5.091880798832866e-03,4.011923814902772e-03,8.295905221379792e-01,7.050162045736705e-02,4
10,4.857163967736242e-04,2.262419957354970e-03,1.008371723577622e+00,6.766474311165636e-03,4
11,3.605514216279426e-03,2.262419957354974e-03,5.091994896944505e-01,4.988144888790349e-02,5
12,1.489718274952805e-03,9.703259310024216e-04,8.652366243986267e-01,2.064071921890224e-02,5
13,2.476999439580460e-04,4.316865666344788e-04,1.011538655389193e+00,3.464548300392210e-03,5
14,7.414637218976910e-04,4.316865666344733e-04,3.911086534442567e-01,1.030309178755488e-02,6
15,2.384364472698246e-04,1.549321752634657e-04,5.192552799771495e-01,3.306766961525309e-03,6
16,-6.044689809501729e-06,7.048299961059756e-05,1.223250847260491e+00,-8.539149592550811e-05,6
17,1.084840623377713e-04,7.048299961059983e-05,6.482986765935920e-01,1.508618972753503e-03,7
18,5.012368308141496e-05,3.283387896321352e-05,7.426049110493661e-01,6.974951012944059e-04,7
19,8.077084453519923e-06,1.463071135783184e-05,1.000597110308053e+00,1.130763078614464e-04,7
20,2.361683424393871e-05,1.463071135783945e-05,4.465718745757503e-01,3.292643595770272e-04,8
21,9.423633431598826e-06,6.245125454581058e-06,6.084092318930000e-01,1.313512080902698e-04,8
22,9.554782088535853e-07,2.909435894842309e-06,1.031655998104654e+00,1.337541808768091e-05,8
23,4.713287634344991e-06,2.909435894843803e-06,3.589847231155017e-01,6.580253169561546e-05,9
24,1.935775354014848e-06,1.236349903166878e-06,5.224022188375048e-01,2.702407334503583e-05,9
25,2.211373220918594e-07,5.350553029173380e-07,1.000362996756103e+00,3.095900877398708e-06,9
26,8.908468900812082e-07,5.350553029320105e-07,3.044630257253254e-01,1.244693112680226e-05,10
27,3.321103845657191e-07,2.117742044688013e-07,5.377377352837714e-01,4.639037808004815e-06,10
28,1.684839572076470e-08,9.167514040130651e-08,1.010944258046810e+00,2.357305610665229e-07,10
29,-8.211950038881977e-09,8.630385540845162e-08,1.117087111494420e+00,-1.151122918530204e-07,10
30,-7.194174136398083e-09,8.839412163164665e-08,1.077019278384854e+00,-1.008621400315525e-07,10
31,-4.310824680878919e-09,9.034451612984646e-08,1.041008026194524e+00,-6.049485691986007e-08,10
32,-2.286682066213882e-09,9.153641867931281e-08,1.020655657522540e+00,-3.215671337307215e-08,10
33,-1.143338653692185e-09,9.217506386594376e-08,1.010157078339824e+00,-1.614984685059718e-08,10
34,-5.516665274715827e-10,9.249698803266150e-08,1.004929701042823e+00,-7.866413533585429e-09,10
35,-2.586448449126279e-10,9.265406649080794e-08,1.002374101153265e+00,-3.764100959072614e-09,10
36,-1.169969678089638e-10,9.272929125593069e-08,1.001137775670340e+00,-1.781027498193042e-09,10
37,-4.949443205716132e-11,9.276489881582730e-08,1.000543457068301e+00,-8.359909976425638e-10,10
