iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000000e+00,2.052980132450331e-01,3.214131145065586e-16,3.100000000000000e+01,1
1,0.000000000000000e+00,5.132450331125829e-02,4.179444328152315e+00,-2.162188858443166e-01,1
2,9.325711845079919e-02,5.132450331125828e-02,2.877214235926970e+00,2.774272416711225e+00,2
3,1.869246141930609e-01,5.132450331125828e-02,9.692783571632730e-01,5.758694224281185e+00,3
4,-2.344918894339754e-02,2.763830921463123e-02,1.534206787370098e+00,-7.997097134888005e-01,3
5,1.209873344892450e-01,2.763830921463119e-02,8.112312455207155e-01,3.765837151138439e+00,4
6,2.564253040362973e-02,1.071749566104679e-02,1.014279947106970e+00,7.804444596129918e-01,4
7,4.826440700760139e-02,1.071749566104677e-02,5.684580770114114e-01,1.504457869846166e+00,5
8,1.253114599185551e-02,4.062151912258075e-03,9.037011923033192e-01,3.934074538359672e-01,5
9,-8.520057475910318e-04,2.496404984551843e-03,1.314351262604732e+00,-2.981709921515718e-02,5
10,9.816948628403323e-03,2.496404984551854e-03,6.859624898336595e-01,3.075799279352499e-01,6
11,4.397730274636264e-03,1.226029393438971e-03,7.570972764549290e-01,1.381705870135738e-01,6
12,6.343881780047966e-04,6.510168990220950e-04,1.314916982122583e+00,2.016858427490485e-02,6
13,2.727665032455406e-03,6.510168990220914e-04,5.591710224348911e-01,8.638169779318457e-02,7
14,1.160025056447840e-03,2.872402826088594e-04,8.679203475746249e-01,3.677982193281392e-02,7
15,8.735017080887052e-05,1.249685972444807e-04,1.479401896197992e+00,2.780320115899470e-03,7
16,5.198983636484753e-04,1.249685972445042e-04,9.882593960043652e-01,1.650206963092750e-02,8
17,1.725985361885496e-04,5.330755342872455e-05,1.058624505666919e+00,5.482576342921497e-03,8
18,2.368589961686158e-04,5.330755342873106e-05,7.594599459027878e-01,7.531174581742404e-03,9
19,4.883349304536390e-05,1.888096049317882e-05,1.221159586772945e+00,1.557493164710323e-03,9
20,8.548016605708678e-05,1.888096049316796e-05,5.763762772008878e-01,2.722181705835673e-03,10
21,2.276174213904514e-05,6.720796162904098e-06,1.879511205252395e+00,7.242534614538985e-04,10
22,-1.499442225282812e-06,3.671769107438940e-06,1.917684475961913e+00,-4.795293992805594e-05,10
23,-3.676248868274601e-06,3.719693074724467e-06,1.549988993087088e+00,-1.176245180690079e-04,10
24,-3.090362951199388e-06,4.060663174385079e-06,1.297697414209302e+00,-9.888477184548882e-05,10
25,-1.695520059796319e-06,4.369932307944918e-06,1.519360136953179e+00,-5.425384430766413e-05,10
26,-5.099663283885721e-07,4.542690065412791e-06,1.412537783751126e+00,-1.631818926573186e-05,10
27,1.577645029591873e-07,4.593813338927438e-06,1.219576533745694e+00,5.048384204609868e-06,10
28,3.752010679726426e-07,4.575625124774020e-06,1.083810736107691e+00,1.200615969956266e-05,10
29,3.328731995281591e-07,4.535060054225722e-06,1.030837505004060e+00,1.065172371898370e-05,10
30,2.022455104042834e-07,4.499373359397921e-06,1.015827797286012e+00,6.471755084210625e-06,10
31,8.325438416646101e-08,4.477752238467536e-06,1.008878082294336e+00,2.664134616308213e-06,10
32,9.959398453222028e-09,4.468848443087145e-06,1.007543641248844e+00,3.187452509708722e-07,10
33,-2.129108967403321e-08,4.467758428153631e-06,1.005364942625514e+00,-6.812586008769208e-07,10
34,-2.662072113906715e-08,4.469999540973182e-06,1.003376104760305e+00,-8.518164444063945e-07,10
35,-2.077049270221243e-08,4.472813672111218e-06,1.002516532775833e+00,-6.646251818423227e-07,10
36,-1.274249005252581e-08,4.475011496088852e-06,1.001909649173202e+00,-4.077429048316306e-07,10
37,-6.397039978603061e-09,4.476360315682323e-06,1.001422778028459e+00,-2.046971895944272e-07,10
38,-2.511419569687601e-09,4.477037550438641e-06,1.001138940936557e+00,-8.036141562655155e-08,10
39,-5.684324591134538e-10,4.477303419139377e-06,1.000733887352829e+00,-1.818699153592878e-08,10
40,1.990209368379210e-10,4.477363552901088e-06,1.000409279209537e+00,6.371680347184647e-09,10
