iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000000e+00,2.052980132450331e-01,3.214131145065586e-16,3.100000000000000e+01,1
1,0.000000000000000e+00,5.132450331125829e-02,4.179444328152315e+00,-2.162188858443166e-01,1
2,-2.181628761989258e-01,4.064769942760314e-02,1.884796491770425e+00,-7.060318374417161e+00,1
3,-1.911001070123607e-01,5.968481241931778e-02,1.497161003696434e+00,-6.127859434269791e+00,1
4,-6.846108210422072e-02,7.842310511395138e-02,1.315516607844956e+00,-2.187308008399354e+00,1
5,1.964975178684260e-03,8.512935190634517e-02,1.268916213859735e+00,6.928242963708975e-02,1
6,1.364024151970260e-02,8.469182499800573e-02,1.195146998959483e+00,4.370638124470752e-01,1
7,8.088933519737217e-04,8.311222849046669e-02,1.135435624880232e+00,1.920653807389350e-02,1
8,-1.217687252769658e-02,8.293860583365012e-02,1.104330232505489e+00,-3.999490174438591e-01,1
9,-1.813156228873457e-02,8.416543091529144e-02,1.092737321581473e+00,-5.897408935331914e-01,1
10,-1.895554489658781e-02,8.603020303348764e-02,1.088376967330187e+00,-6.132103586522213e-01,1
11,-1.813387111065490e-02,8.798071912087520e-02,1.084437492178601e+00,-5.841972755761606e-01,1
12,-1.692176849545290e-02,8.984999439406484e-02,1.075210011259707e+00,-5.430083963466608e-01,1
13,-1.325993804538190e-02,9.160367671101992e-02,1.798611027052614e+00,-4.224379178371791e-01,1
14,-7.479060743378593e-03,9.297077054120720e-02,1.948639662694735e+00,-2.367306901444355e-01,1
15,-2.647450706474306e-03,9.373009744412344e-02,1.644416124206738e+00,-8.421864172052906e-02,1
16,-2.796126799425573e-04,9.398949923018997e-02,1.372232728373299e+00,-1.112663491750077e-02,1
17,-1.385081807631759e-04,9.401071540479096e-02,1.178671496964225e+00,-8.677907952000297e-03,1
18,-1.259613923232480e-03,9.402670572647305e-02,1.052780169787702e+00,-4.553480304434920e-02,1
19,-2.712748407474729e-03,9.416689632732587e-02,1.019223086898043e+00,-9.196870136104529e-02,1
20,-3.899114893121213e-03,9.446255728422419e-02,1.018658321625407e+00,-1.291697198679227e-01,1
21,-4.564517508819214e-03,9.488288814387182e-02,1.018209710636484e+00,-1.494284752275199e-01,1
22,-4.704495025665453e-03,9.537162336923445e-02,1.017378615914805e+00,-1.529361985624504e-01,1
23,-4.455744443933517e-03,9.587308535295683e-02,1.017287962400892e+00,-1.442538745476654e-01,1
24,-4.006126957388658e-03,9.634664625062410e-02,1.023649002258536e+00,-1.294448068650595e-01,1
25,-3.528814389847339e-03,9.677176043037589e-02,1.036476722138422e+00,-1.140083440335022e-01,1
26,-3.141924723936828e-03,9.714615348594972e-02,1.043502409253108e+00,-1.016349719177452e-01,1
27,-2.894926252661820e-03,9.747984996294731e-02,1.041902911934472e+00,-9.381164634146266e-02,1
28,-2.778552905855110e-03,9.778786013160674e-02,1.035469435545188e+00,-9.016642799932661e-02,1
29,-2.748758755355702e-03,9.808399704328818e-02,1.028357672065816e+00,-8.924705056490900e-02,1
30,-2.752851786124179e-03,9.837727766890404e-02,1.023062537591309e+00,-8.935597550659935e-02,1
31,-2.748762311879863e-03,9.867109942126868e-02,1.020084241506990e+00,-8.915754477387949e-02,1
32,-2.713828095353461e-03,9.896443452103823e-02,1.018864728131258e+00,-8.794717262492568e-02,1
33,-2.644294387280980e-03,9.925391930936561e-02,1.018754180155269e+00,-8.562530318193140e-02,1
34,-2.549257957343614e-03,9.953585864242387e-02,1.019212650244617e+00,-8.249761314018222e-02,1
35,-2.443050981930723e-03,9.980756907373706e-02,1.019753721463583e+00,-7.902944278238344e-02,1
36,-2.338951070805510e-03,1.000679088236653e-01,1.020008055264672e+00,-7.564568247373415e-02,1
37,-2.245574018801389e-03,1.003171447452607e-01,1.019824252845338e+00,-7.261798087857407e-02,1
38,-2.165995779683738e-03,1.005564452736566e-01,1.019263192136745e+00,-7.003941384617995e-02,1
39,-2.098840773500033e-03,1.007872890115987e-01,1.018499456178106e+00,-6.786135141249616e-02,1
40,-2.040288870199493e-03,1.010109950995062e-01,1.017713412359081e+00,-6.595869119087894e-02,1
41,-1.986072256232201e-03,1.012284695173435e-01,1.017026620335148e+00,-6.419384911994719e-02,1
42,-1.932875602649569e-03,1.014401633564325e-01,1.016486746141898e+00,-6.246107318771088e-02,1
43,-1.878942033780148e-03,1.016461779678144e-01,1.016083220840674e+00,-6.070513564354130e-02,1
44,-1.823994435281868e-03,1.018464321405727e-01,1.015773231293212e+00,-5.891819879541949e-02,1
45,-1.768745589981192e-03,1.020408189950898e-01,1.015506099206562e+00,-5.712375833688199e-02,1
46,-1.714293827849578e-03,1.022293097529981e-01,1.015240857213935e+00,-5.535718128709455e-02,1
47,-1.661626930023937e-03,1.024119930694859e-01,1.014954982509908e+00,-5.364990313083418e-02,1
48,-1.611343221939820e-03,1.025890620230030e-01,1.014644598953252e+00,-5.202067262806764e-02,1
49,-1.563593785580705e-03,1.027607720930759e-01,1.014318797068443e+00,-5.047388046031998e-02,1
50,-1.518181870047938e-03,1.029273935871073e-01,1.013991888875623e+00,-4.900286838954671e-02,1
51,-1.474731729787188e-03,1.030891750167001e-01,1.013676856934558e+00,-4.759538953007514e-02,1
52,-1.432850386199030e-03,1.032463245547601e-01,1.013381662998940e+00,-4.623878021022954e-02,1
53,-1.392235986679088e-03,1.033990086237862e-01,1.013108493352571e+00,-4.492338528255857e-02,1
54,-1.352719539411833e-03,1.035473618340442e-01,1.012855051945316e+00,-4.364384049192793e-02,1
55,-1.314251790102589e-03,1.036915011751173e-01,1.012616735595938e+00,-4.239860852115562e-02,1
56,-1.276859302727149e-03,1.038315386762470e-01,1.012388712820710e+00,-4.118854856434773e-02,1
57,-1.240594328102991e-03,1.039675893329154e-01,1.012167321606503e+00,-4.001530655329333e-02,1
58,-1.205495929576368e-03,1.040997737040062e-01,1.011950614175454e+00,-3.888007944416572e-02,1
59,-1.171570023617125e-03,1.042282164171484e-01,1.011738192502852e+00,-3.778299089421111e-02,1
60,-1.138787441742004e-03,1.043530426064438e-01,1.011530641434072e+00,-3.672304302594931e-02,1
61,-1.107093964054889e-03,1.044743741903628e-01,1.011328878774637e+00,-3.569844664912480e-02,1
62,-1.076424842249091e-03,1.045923272433735e-01,1.011133651031159e+00,-3.470708937810407e-02,1
63,-1.046717699536432e-03,1.047070109182716e-01,1.010945274683134e+00,-3.374694708554848e-02,1
64,-1.017920428523583e-03,1.048185277317837e-01,1.010763610612462e+00,-3.281633266096762e-02,1
65,-9.899934754315923e-04,1.049269746747533e-01,1.010588192614630e+00,-3.191396462776019e-02,1
66,-9.629078435155269e-04,1.050324445503139e-01,1.010418413252582e+00,-3.103889976761742e-02,1
67,-9.366409757467257e-04,1.051350270895859e-01,1.010253688668469e+00,-3.019039952015312e-02,1
68,-9.111725405645336e-04,1.052348096254513e-01,1.010093559361191e+00,-2.936779483329666e-02,1
69,-8.864814369885849e-04,1.053318773191493e-01,1.009937719385479e+00,-2.857039106189241e-02,1
70,-8.625444811933071e-04,1.054263130722277e-01,1.009785991170198e+00,-2.779742706271549e-02,1
71,-8.393365510368620e-04,1.055181973032723e-01,1.009638273557343e+00,-2.704808081561438e-02,1
72,-8.168315972538375e-04,1.056076077434663e-01,1.009494488769257e+00,-2.632150236555653e-02,1
73,-7.950038777569631e-04,1.056946193414478e-01,1.009354544893016e+00,-2.561685344201337e-02,1
74,-7.738289364078738e-04,1.057793042995762e-01,1.009218319583484e+00,-2.493333855223234e-02,1
75,-7.532841003610545e-04,1.058617322133676e-01,1.009085662038691e+00,-2.427022049961103e-02,1
76,-7.333485011036171e-04,1.059419702625145e-01,1.008956405739667e+00,-2.362682065870203e-02,1
77,-7.140027703707280e-04,1.060200834029919e-01,1.008830383877201e+00,-2.300250895192235e-02,1
78,-6.952286089326462e-04,1.060961345261319e-01,1.008707441523081e+00,-2.239668990046084e-02,1
