iter,theta,mu,d_inf,gap,factorizations
0,1.000000000000000e+00,2.052980132450331e-01,3.214131145065586e-16,3.100000000000000e+01,1
1,0.000000000000000e+00,5.132450331125829e-02,4.179444328152315e+00,-2.162188858443166e-01,1
2,9.325711845079919e-02,5.132450331125828e-02,2.877214235926970e+00,2.774272416711225e+00,2
3,-1.161577289297072e-01,3.507871878842723e-02,1.651544848653486e+00,-3.765082812558132e+00,2
4,1.507164266411211e-01,3.507871878842719e-02,7.925887577951899e-01,4.702181741209419e+00,3
5,3.118275840009622e-02,1.473323084891643e-02,1.173041991984621e+00,9.646724811737293e-01,3
6,-3.860794589568148e-03,1.064533925254982e-02,1.207223984080930e+00,-1.315096305959214e-01,3
7,4.118354109131257e-02,1.064533925254983e-02,7.909581544600572e-01,1.301220623710617e+00,4
8,1.727324613767660e-02,5.220333604678987e-03,8.161430188040730e-01,5.453333065925050e-01,4
9,1.329644472922271e-03,2.941100090400493e-03,1.119597736876764e+00,4.179398075539875e-02,4
10,-4.703653661280538e-04,2.789723769304794e-03,1.088969782636071e+00,-1.529767767993651e-02,4
11,9.980824478646212e-03,2.789723769304798e-03,8.655143196616800e-01,3.177441105663579e-01,5
12,5.167027464100471e-03,1.499045589551886e-03,7.132567077799167e-01,1.645872237534496e-01,5
13,1.303701643112714e-03,8.261677716371468e-04,1.167265217518361e+00,4.169093134055714e-02,5
14,3.433999655502063e-03,8.261677716371480e-04,5.320856369776712e-01,1.096787191117622e-01,6
15,1.381530308792470e-03,3.579572370801561e-04,9.591091662934436e-01,4.412746309670845e-02,6
16,2.240299408630404e-04,1.629881679114235e-04,1.646686756404347e+00,7.166435646718781e-03,6
17,9.106202777718001e-07,1.330827747852262e-04,1.644634520954446e+00,3.080342985680579e-05,6
18,-3.636315475770234e-05,1.307578309284884e-04,1.490995288427063e+00,-1.161130602977452e-03,6
19,4.984592099584082e-04,1.307578309284522e-04,2.725867306006472e+00,1.592020812343273e-02,7
20,1.860593751849660e-04,5.992158615473282e-05,1.186516408585506e+00,5.943927657048053e-03,7
21,1.471071460209296e-05,3.549530201356665e-05,1.197594996449800e+00,4.708315212013621e-04,7
22,-1.053961699138316e-07,3.357593927017686e-05,1.211632584322949e+00,-3.309229251416412e-06,7
23,-5.617358710079574e-06,3.342314067714756e-05,1.186768278744694e+00,-1.797204338843976e-04,7
24,-5.441332937933206e-06,3.392839618143999e-05,1.155082889012738e+00,-1.741026368280345e-04,7
25,-3.591116092029546e-06,3.444589864163125e-05,1.122180715816376e+00,-1.149041314444533e-04,7
26,-2.198139230372187e-06,3.478397124748189e-05,1.097888293644782e+00,-7.033390854681038e-05,7
27,-1.644044665442232e-06,3.498429275796047e-05,1.083951765866700e+00,-5.260587438178817e-05,7
28,-1.604170068849620e-06,3.513221665706670e-05,1.077033951188650e+00,-5.133155895149961e-05,7
29,-1.724629261338358e-06,3.528024584358339e-05,1.073124129295659e+00,-5.518710340819775e-05,7
30,-1.828169251124804e-06,3.544413809307457e-05,1.069731270927991e+00,-5.850077930768822e-05,7
31,-1.879188458155414e-06,3.562129882667853e-05,1.065996024169093e+00,-6.013357943595362e-05,7
32,-1.900541355397412e-06,3.580562276229290e-05,1.061976735091291e+00,-6.081697919226199e-05,7
33,-1.919702277538993e-06,3.599358908857217e-05,1.057989331779719e+00,-6.143021220657470e-05,7
34,-1.950511689376244e-06,3.618469556275830e-05,1.054282332515455e+00,-6.241618781121453e-05,7
35,-1.994412537302581e-06,3.637998172956068e-05,1.050967245448465e+00,-6.382108019455969e-05,7
36,-2.046919925274352e-06,3.658069381063430e-05,1.048055932868325e+00,-6.550137070067841e-05,7
37,-2.102550237657529e-06,3.678764055730616e-05,1.045512060810627e+00,-6.728158350848175e-05,7
38,-2.156909087153114e-06,3.700107533792553e-05,1.043284259796464e+00,-6.902109968922460e-05,7
39,-2.206915032304547e-06,3.722080292955342e-05,1.041320754310569e+00,-7.062131506336503e-05,7
40,-2.250363773908625e-06,3.744631289686827e-05,1.039574037185593e+00,-7.201169383139715e-05,7
41,-1.706641786367498e-06,3.767975505878572e-05,1.423827458902113e+00,-5.461217781201066e-05,7
42,-8.884461788946194e-07,3.785700422887110e-05,1.578908790863778e+00,-2.842975399379357e-05,7
43,-1.675485150095264e-07,3.794849487595511e-05,1.449297056873971e+00,-5.361160649908041e-06,7
44,2.776430915501015e-07,3.796432721416193e-05,1.286423455739995e+00,8.884741621892171e-06,7
45,4.337711345403073e-07,3.793356631097926e-05,1.151595806672092e+00,1.388063226688899e-05,7
46,3.803052878915066e-07,3.788670723422063e-05,1.053753817555241e+00,1.216960034348003e-05,7
47,2.205876663018319e-07,3.784583241391372e-05,1.019773951336347e+00,7.058604570411853e-06,7
48,4.175664265601992e-08,3.782209094367293e-05,1.020229857890363e+00,1.336050966018951e-06,7
49,-1.009081832144640e-07,3.781742540608328e-05,1.019228068833670e+00,-3.229148487826627e-06,7
50,-1.840278631567204e-07,3.782795012710516e-05,1.017177830646288e+00,-5.888900429260567e-06,7
51,-2.083808307678795e-07,3.784732587745477e-05,1.014479613650593e+00,-6.668136902999826e-06,7
52,-1.888480933638341e-07,3.786931074960693e-05,1.011510377450317e+00,-6.043059320084282e-06,7
53,-1.452601340707308e-07,3.788924701219706e-05,1.008604928189434e+00,-4.648241569610127e-06,7
54,-9.574111027750430e-08,3.790458128189153e-05,1.014281251606603e+00,-3.063648698282788e-06,7
55,-5.304664615821763e-08,3.791468193303609e-05,1.017585268947685e+00,-1.697450689223078e-06,7
56,-2.359523277437409e-08,3.792026961436139e-05,1.016289856760794e+00,-7.550305583274228e-07,7
57,-8.386027676187548e-09,3.792274546717393e-05,1.012369965538908e+00,-2.683556427698908e-07,7
58,-4.838597467985746e-09,3.792361670852762e-05,1.007687492552819e+00,-1.548496570214289e-07,7
59,-8.741866813513223e-09,3.792411728719426e-05,1.003578394710077e+00,-2.797584091971533e-07,7
60,-1.581014650274079e-08,3.792503516668421e-05,1.001750998693508e+00,-5.059416630344774e-07,7
61,-2.265342984090215e-08,3.792670450962806e-05,1.001381190341114e+00,-7.249216036377126e-07,7
62,-2.718566917682934e-08,3.792910061583111e-05,1.001260533486735e+00,-8.699469575806223e-07,7
63,-2.860486051146723e-08,3.793197804585906e-05,1.001142809496218e+00,-9.153552667498163e-07,7
64,-2.711075508027890e-08,3.793500659528681e-05,1.001027314935378e+00,-8.675395409517284e-07,7
65,-2.351320315623177e-08,3.793787736139454e-05,1.000914642613915e+00,-7.524153256910707e-07,7
66,-1.884930904457080e-08,3.794036733350686e-05,1.001000989657717e+00,-6.031698285289058e-07,7
67,-1.408433292120378e-08,3.794236343888181e-05,1.001367682003701e+00,-4.506909792225539e-07,7
68,-9.928958136596512e-09,3.794385490933390e-05,1.001441632071145e+00,-3.177201508015176e-07,7
69,-6.771108335359410e-09,3.794490629299387e-05,1.001286703096966e+00,-2.166704437776834e-07,7
70,-4.697932182604537e-09,3.794562324727383e-05,1.000999547428277e+00,-1.503302602158529e-07,7
71,-3.573420685811460e-09,3.794612066636459e-05,1.000675223364356e+00,-1.143470816887537e-07,7
72,-3.137249282762436e-09,3.794649903636679e-05,1.000451650223934e+00,-1.003904298900807e-07,7
73,-3.097380994754315e-09,3.794683126475854e-05,1.000348348617100e+00,-9.911511909908161e-08,7
74,-3.199135930198933e-09,3.794715932124651e-05,1.000306437512371e+00,-1.023714595429007e-07,7
75,-3.263849072890114e-09,3.794749819596326e-05,1.000265912488587e+00,-1.044422634445194e-07,7
76,-3.198784813023923e-09,3.794784395288523e-05,1.000227034820229e+00,-1.023600856029164e-07,7
77,-2.985526757388167e-09,3.794818283351256e-05,1.000190432742448e+00,-9.553567786781819e-08,7
78,-2.656370409752919e-09,3.794849913048520e-05,1.000156938270687e+00,-8.500254838287452e-08,7
79,-2.267798732613891e-09,3.794878056009057e-05,1.000133833058937e+00,-7.256817903533719e-08,7
