iter,theta,mu,d_inf,gap,factorizations
0,9.999999999999998e-01,3.454545454545455e-01,4.458172094906218e-16,1.900000000000000e+01,1
1,1.880798435155552e-16,8.636363636363639e-02,2.637276656118847e+00,-2.443526434418866e-01,1
2,1.773934269253468e-01,8.636363636363631e-02,1.259357132948056e+00,3.301031656299080e+00,2
3,-4.164572488203974e-02,4.801419150886871e-02,1.472052906153786e+00,-8.914261261852801e-01,2
4,1.197992516382760e-01,4.801419150886861e-02,6.350151037600312e-01,2.318726885648091e+00,3
5,3.547685675377051e-02,2.042402010692307e-02,9.671520324850862e-01,6.924613145570557e-01,3
6,4.132034521707916e-03,1.272653767960139e-02,1.181128614233962e+00,7.961828974139384e-02,3
7,-6.781022529171578e-03,1.157778636138297e-02,1.221345273811116e+00,-1.391055705022134e-01,3
8,2.524720017723863e-02,1.157778636138300e-02,6.972380320550463e-01,4.963890135146682e-01,4
9,1.177579604123704e-02,5.949899229532415e-03,8.533893326215148e-01,2.327233726357408e-01,4
10,2.868703968937159e-03,3.335716897223200e-03,1.044956521693696e+00,5.703748301950570e-02,4
11,7.478531559291631e-04,2.773252575474209e-03,1.031101723515554e+00,1.481855958560119e-02,4
12,6.098690692668571e-05,2.633928490115130e-03,1.024099442328487e+00,1.140758429998667e-03,4
13,-9.578741165887409e-05,2.622980779740506e-03,1.032749312727131e+00,-1.952494828671825e-03,4
14,5.795812138408212e-03,2.622980779740596e-03,1.666464991140575e+00,1.149613544303318e-01,5
15,3.121793086103969e-03,1.323838321322564e-03,7.746738559590918e-01,6.205493926070082e-02,5
16,9.166643003351098e-04,6.128124343728680e-04,1.024145086184483e+00,1.831700761284518e-02,5
17,2.251140796233344e-04,4.193631831907039e-04,1.155565349360985e+00,4.497246084904889e-03,5
18,3.809974177379429e-05,3.721252130851259e-04,1.071422200503730e+00,7.650938682199938e-04,5
19,3.092572734299983e-05,3.647944624356752e-04,1.037538524422450e+00,6.231384844165473e-04,5
20,2.072435835408019e-05,3.589542719554746e-04,1.020253302711332e+00,4.177668145196357e-04,5
21,1.225077020468940e-05,3.550880506093653e-04,1.010425706913860e+00,2.470209480841534e-04,5
22,7.023013692087495e-06,3.528196164294170e-04,1.006030444846543e+00,1.416267269626209e-04,5
23,3.994118323145279e-06,3.515248977367688e-04,1.003415727209771e+00,8.054427892450686e-05,5
24,2.258306082269290e-06,3.507904277080426e-04,1.001911544101891e+00,4.553675884717140e-05,5
25,1.269759072948295e-06,3.503757549424480e-04,1.001063121221234e+00,2.560131926040640e-05,5
26,7.106689525003287e-07,3.501427958740050e-04,1.000589507827097e+00,1.432767619671815e-05,5
27,3.964146664189448e-07,3.500124752945823e-04,1.000326377760632e+00,7.991595736119017e-06,5
28,2.206112111978241e-07,3.499398027511970e-04,1.000180482432423e+00,4.447276081422785e-06,5
29,1.225886796251033e-07,3.498993661643322e-04,1.000099672077456e+00,2.471185745964166e-06,5
30,6.805681619558055e-08,3.498768987088510e-04,1.000054953983491e+00,1.371890021341360e-06,5
31,3.776392540759050e-08,3.498644263165340e-04,1.000031792488513e+00,7.612373195478583e-07,5
32,2.095129304507923e-08,3.498575057701801e-04,1.000018352941956e+00,4.223284469431765e-07,5
33,1.162497056644043e-08,3.498536663559914e-04,1.000010312441210e+00,2.343300773942347e-07,5
34,6.452398093031224e-09,3.498515360621550e-04,1.000005605049221e+00,1.300627865095938e-07,5
35,3.583272296388366e-09,3.498503536666162e-04,1.000002924844675e+00,7.222800137152152e-08,5
36,1.991236243677236e-09,3.498496970462433e-04,1.000001473641300e+00,4.013654191295513e-08,5
37,1.107315258492809e-09,3.498493321678423e-04,1.000000877925126e+00,2.231911346017856e-08,5
38,6.161777780082087e-10,3.498491292665464e-04,1.000000631598538e+00,1.241930639231392e-08,5
39,3.430542259077386e-10,3.498490163636658e-04,1.000000441402461e+00,6.914127510110335e-09,5
40,1.910423951688754e-10,3.498489535079267e-04,1.000000298162477e+00,3.850228538770928e-09,5
41,1.063770248423465e-10,3.498489185058363e-04,1.000000194750848e+00,2.143815427263496e-09,5
42,5.919864222366562e-11,3.498488990166007e-04,1.000000123108810e+00,1.192993131365894e-09,5
43,3.290590004992104e-11,3.498488881712070e-04,1.000000075328100e+00,6.631241285248723e-10,5
44,1.825777679296621e-11,3.498488821428052e-04,1.000000044573738e+00,3.679417326374335e-10,5
45,1.010448148943532e-11,3.498488787978801e-04,1.000000025445370e+00,2.036485632905816e-10,5
46,5.573346937182427e-12,3.498488769465296e-04,1.000000013950071e+00,1.123490189769427e-10,5
47,3.061139042617129e-12,3.498488759251747e-04,1.000000007286615e+00,6.173002387033222e-11,5
48,1.672573004150805e-12,3.498488753639925e-04,1.000000003574967e+00,3.375255283599721e-11,5
49,9.081783693558963e-13,3.498488750571511e-04,1.000000001602437e+00,1.835038371256204e-11,5
50,4.894025607925975e-13,3.498488748903296e-04,1.000000000694841e+00,9.912102388875965e-12,5
51,2.612727724591102e-13,3.498488748002195e-04,1.000000000289337e+00,5.315387019422246e-12,5
52,1.379051161195060e-13,3.498488747518978e-04,1.000000000179734e+00,2.828161316248412e-12,5
53,7.161914786826025e-14,3.498488747261873e-04,1.000000000164796e+00,1.491931578279093e-12,5
54,3.631713506245395e-14,3.498488747126240e-04,1.000000000132319e+00,7.801710666388573e-13,5
